C3,F3,F4,F7,F8,Fp1,Fp2,O1,O2,P4,P7,P8,T7,T8,Cpz
-1.3876195680495584e-05,-1.4238137737265788e-05,2.317893176950747e-05,-7.484841989935376e-05,9.318113598055788e-05,1.3502445654012263e-05,4.9964138270297553e-05,-1.692256410024129e-05,-1.0910185665125027e-05,-6.331984877760988e-06,-2.3817703549866565e-05,-7.852264388930053e-06,-2.6546342496658326e-05,1.7835895960160997e-05,-2.3187494662124664e-06
-2.8107178877689876e-06,-8.933177014114335e-06,-1.628984819035395e-06,-1.6337526176357642e-05,3.0981898817117326e-05,-2.010332536883652e-06,1.3089525964460336e-05,2.929257277628494e-06,-6.836361535533797e-06,-9.159030469163554e-06,6.377763043019513e-06,-4.5766391849610955e-06,1.7755155568011105e-08,6.468013452831656e-06,-7.571441187792516e-06
3.5861407923221122e-06,-4.916213947581127e-05,-1.3529212992580142e-05,-8.977206744020805e-05,2.9653187084477395e-05,-0.0001227217544510495,-8.900362081476487e-05,5.5848977808636846e-05,5.5970388757486944e-05,3.8309899395017055e-05,4.34522644354729e-05,5.237534060142934e-05,7.795298643031856e-06,5.172981946088839e-05,2.5467479190410813e-05
-1.7816867057263153e-05,-4.8206511564785615e-06,1.8734229570327443e-05,-5.405332012742292e-05,5.459480962599628e-05,4.767380551129463e-05,8.571392208978068e-05,-1.354547930532135e-05,-2.088992533799683e-05,-1.853381991168135e-05,-1.2018736242680461e-05,-1.9630590941233095e-05,-2.4084240862976003e-05,-2.224164404651674e-06,-1.9098973098152783e-05
6.5630483732093126e-06,-2.006437352974899e-05,5.531936039915308e-06,-8.049845746427309e-05,2.518900510040112e-05,-9.179654625768308e-05,-5.8241044825990684e-05,3.24805531590755e-05,4.717817569144245e-05,3.0310887268569786e-05,2.926409203496405e-05,3.071169703616761e-05,-2.812903403537348e-06,3.039636339963181e-05,1.5787572010594886e-05
-2.239228615508182e-05,-3.722789006133098e-05,-2.994916144416493e-06,-7.432760386905102e-05,8.559605885238852e-05,1.2131138646509498e-05,4.7923618694767356e-05,-2.621252860990353e-06,-4.505911419983022e-06,-2.8726935852319002e-06,-8.539200905488542e-06,9.25706626730971e-06,-2.0339876755315345e-05,2.9402626751107164e-05,-8.488879757351242e-06
-1.1327969332342036e-05,-3.102992741332855e-05,1.9599863662733696e-05,-0.00011827999696834013,6.861844485683832e-05,-5.805861655971967e-05,3.4670774766709656e-06,3.7391801015473902e-06,1.9608731236075982e-05,2.818585835484555e-05,-7.751016823931423e-07,2.4303152258653427e-05,-1.9815032828773838e-05,4.1565526771591976e-05,3.0198813874449115e-05
-9.105753633775748e-06,-1.481323124608025e-06,8.975206696959503e-06,-2.667074659257196e-05,2.4538589059375226e-05,3.052173997275531e-05,4.776544665219262e-05,-7.863640348659828e-06,-3.062250470975414e-06,-5.4804149840492755e-06,-1.4226701750885695e-05,-8.878927474142984e-06,-2.6596275347401388e-05,-1.8994614947587252e-06,-6.535485226777382e-06
-4.779288019562955e-06,-1.3806933111482067e-05,-4.387562512420118e-06,-2.6982672807207564e-05,1.4544344594469294e-05,-4.710928806161974e-06,8.8164603084806e-06,1.1652795365080237e-05,1.497335597377969e-05,6.822202294642921e-06,4.352383257355541e-06,6.283699988784974e-06,-1.1010541584255407e-05,-1.5010955394245684e-06,-2.6621938076232254e-07
1.5512553090957226e-05,-6.733102054568008e-06,6.93373385729501e-06,-2.3266897187568247e-05,1.8681691472011153e-05,-5.840195808559656e-05,-3.940760507248342e-05,1.151182732428424e-05,4.772857209900394e-06,1.3204773495090194e-05,1.0823810953297652e-05,8.20402055978775e-06,5.636647983919829e-06,1.3543824024964124e-05,1.8983814243256347e-05
-5.081996278022416e-06,-2.1448050119943218e-05,-4.141469617024995e-06,-5.3419794312503655e-05,5.410393077909248e-05,-8.679252641741186e-05,-5.111819336889312e-05,2.481018873368157e-05,3.240966634621145e-05,1.1878222721861675e-05,8.947588867158629e-06,3.7879491173953284e-05,-1.517662894912064e-06,4.316266540627112e-05,1.0327935342502315e-05
-2.169948857044801e-05,-1.86649403985939e-05,1.5408832496177638e-05,-5.552821858145762e-05,6.897371258673957e-05,2.9596767490147613e-05,7.229110087791923e-05,-2.067579498543637e-05,-1.2775129107467365e-05,-4.32691285823239e-06,-1.6574535038671456e-05,-7.129710866138339e-06,-3.225067939638393e-05,9.672214218880981e-06,-6.317210818451713e-06
-1.6200087770812388e-05,-8.305176379508339e-06,1.1291495752629999e-05,-1.4351497156894766e-05,3.896977159456583e-05,1.882578362710774e-05,3.528144907249953e-05,-6.7784308157570194e-06,-1.0328828921046806e-05,-1.2211541047690844e-05,-1.1135078466395498e-05,-5.8696236919786315e-06,-1.4237413324735826e-05,4.795053428097162e-06,-9.745874422151246e-06
-9.252964900952065e-07,-2.5299054868810344e-05,1.872340180852916e-05,-7.747364816168556e-05,6.159272061267984e-05,-3.235242388655024e-05,9.788285119327611e-06,1.4157124951452715e-05,8.35091532280785e-06,1.1299802054054453e-05,-2.208178329965449e-06,6.524331183754839e-06,-2.0781903991462514e-05,1.5081106539582834e-05,1.352282060906873e-05
