F7,T7,P7,O1,TP9,Fz,Cz,Fp2,F8,T8,P8,O2,TP10,Pz,Cpz
-0.00017325673616142012,-4.6647826820844784e-05,-2.1418727556010708e-05,-1.978755881282268e-05,-2.4149085220415145e-05,2.1130216737219598e-05,4.177472760602541e-06,5.179837535251863e-05,0.00017876781748782378,1.319345733463706e-05,5.0492385241796e-06,-2.0565121303661726e-06,4.280586608729209e-06,3.9289932374231284e-06,4.9902845375982e-06
-6.175399903440848e-05,-1.650675585551653e-05,-9.328569944955234e-06,-3.4368572414678056e-06,-4.331699017257051e-06,-1.999146161324461e-05,-3.590583082768717e-05,-8.517720743839163e-06,6.014860264258459e-05,5.273524402582552e-05,2.798821287797182e-05,1.3893577261114842e-05,3.4945707739098e-05,-8.6367535914178e-06,-2.1301697415765375e-05
-0.00011511568663991056,-3.185816024142696e-05,-5.147469892108347e-06,4.193871973257046e-06,-1.3468414067574486e-05,-2.6343625449953834e-06,5.520082027032913e-06,4.2567944547045045e-07,8.053046258282848e-05,1.8392347215012705e-05,1.214650865222211e-05,1.8606701530643477e-05,7.768537375163476e-06,9.496112397755496e-06,1.1143791994072672e-05
-4.172589524387149e-05,-2.8630704946408514e-05,-1.986455652058794e-05,-2.2276251911534928e-05,-2.398067772446666e-05,1.4264681226450193e-05,-3.93287621136551e-06,5.675584725395311e-05,9.92074201349169e-05,2.9824554701463057e-05,-1.5775628526171204e-05,-2.1704307869185868e-05,-6.034104849561572e-06,-1.285983671550639e-05,-3.2676653063390404e-06
-7.082451429596404e-05,-2.7011773909180192e-05,-7.495461034068285e-06,-2.069796209980268e-07,-1.3745147498411825e-05,1.603445616638055e-05,5.95802407588053e-06,3.8076023884059396e-05,7.509799070248846e-05,5.827183258588775e-06,-8.390013590542367e-06,-1.0682748779800022e-05,-1.0220021721352168e-05,1.7542606656206772e-06,5.82871984988742e-06
-3.9356350043817656e-05,-3.078794406974339e-06,-7.1476365519629326e-06,-1.8125256247003563e-06,-4.1189832700183615e-07,-1.0935531577160873e-05,-1.0621967703627888e-05,-3.778297468670644e-06,3.8172343010955956e-05,1.7514566989618174e-05,1.0058220539121976e-05,1.0265854598401347e-05,1.1933753285120474e-05,-4.065533175889868e-06,-6.736207296853536e-06
-6.482795652118511e-05,-1.7321397535852157e-05,-1.4791368812439032e-05,-1.1637687975962763e-05,-7.574634310003603e-06,1.6160447557922453e-07,-5.898848939978052e-06,-3.2541829568799585e-06,7.351948420364351e-05,4.71527209811029e-05,6.5625440583971795e-06,-1.0203651754636667e-05,1.790042097127298e-05,-7.349602697104274e-06,-2.4374380700464826e-06
-0.00014179136178427143,-2.4085423717679078e-05,-4.768620215145347e-06,-2.6243142201565206e-06,4.409303528518649e-06,-4.70142640551785e-05,-2.7234145818511024e-05,7.84981057222467e-06,0.0001285748257942032,5.0593829655554146e-05,2.22830094571691e-05,1.643300811338122e-05,4.5229984607431106e-05,-1.4073087186261546e-05,-1.378254683004343e-05
-2.9877133783884346e-05,-6.122670129116159e-06,-4.266244559403276e-06,-2.844276423275005e-06,-2.3388633962895256e-06,1.883216555143008e-06,7.471025583072333e-06,1.0465407285664696e-05,3.91751600545831e-05,-8.202085155062377e-06,-1.1060130873374874e-06,-7.32883484033664e-06,-2.058925474557327e-06,1.2153966508776648e-06,3.934840378860827e-06
-0.00015988482846296392,-4.746542481370852e-05,-7.920385996840196e-06,2.0428897187230177e-06,-1.6433132543625106e-05,-8.63139354123632e-06,4.429552973306272e-07,2.1655491764249746e-05,0.000123238904052414,3.0176992368069477e-05,2.0753716853505466e-05,1.244875238626264e-05,1.827454025260522e-05,4.337464361015009e-06,6.963457167330489e-06
-5.618289151243516e-05,-2.5165244892377814e-05,-6.714810751873301e-06,-1.1968113540206105e-06,-1.029043073685898e-05,-3.4251195302203996e-06,8.700545777173829e-07,4.343060254541342e-06,2.967396085296059e-05,2.9170571451686556e-05,1.2777238225680776e-05,7.565525038444321e-06,1.331251451119897e-05,2.2269950932241045e-06,3.035391273442656e-06
