F7,F8,Fp1,Fp2,FT10,FT9,O1,O2,P7,P8,T7,T8,TP10,TP9,Cpz
-2.4661891984578688e-05,0.0001506997796241194,-1.611991046956973e-05,4.5208162191556767e-07,-4.469069756396493e-05,-6.714632263538078e-06,2.7914256861549802e-06,-8.28644806460943e-06,1.8310456653125584e-05,2.5057861421373673e-06,4.050700044899713e-05,-0.00011225989874219522,-2.772536754491739e-05,1.301225620409241e-05,1.2180061276012566e-05
-2.5626626211305847e-05,3.740776901395293e-05,-1.998700827243738e-05,-1.9227852135372814e-05,5.159014017408481e-05,-2.7610331017058343e-06,9.115181455854326e-06,-1.9522089814927313e-05,2.0165810155958752e-05,-8.008845907170326e-05,-3.6830274439125787e-06,0.00010410784307168797,-2.73641253443202e-05,1.251728235729388e-05,-3.664380210466334e-05
-5.2593516556953546e-05,9.678144488134421e-05,-7.784961780998856e-06,6.48022978566587e-06,6.772215510864044e-05,-6.212841435626615e-05,-7.58603127906099e-05,1.7287467926507816e-05,-8.214976332965307e-06,4.292000085115433e-06,-1.5479458852496464e-05,4.325945701566525e-05,1.3614020645036362e-05,-3.285897309979191e-05,5.483820132212713e-06
-0.00025403643667232245,0.0003316232468932867,-0.00028253489290364087,-0.00031796388793736696,-0.0002492704370524734,-0.0002802688686642796,-0.0003596198366722092,-0.00037305703153833747,-4.646004526875913e-05,0.0025934784207493067,-0.0002078091201838106,-0.0001423289650119841,-0.00023197435803012922,0.00014805301907472312,-0.00032783104688860476
-0.00010856720655283425,0.00013927978579886258,-2.824634429998696e-05,5.939733819104731e-05,7.537201963714324e-05,-0.00011886571883223951,-1.942223752848804e-05,-1.003599027171731e-05,2.9609218472614884e-06,-1.7292506527155638e-05,-3.705221752170473e-05,4.715588875114918e-05,-5.396006599767134e-06,1.994153717532754e-05,7.707130862399936e-07
-2.597504101231607e-05,5.583607708103955e-05,5.2647446864284575e-06,3.8872927689226344e-05,1.931298174895346e-05,-2.794756437651813e-05,4.4961561798118055e-06,-1.070119469659403e-05,-9.769857570063323e-06,-3.644207026809454e-06,-3.829518391285092e-06,2.085565938614309e-06,-4.022850362161989e-05,7.808906957507133e-06,-1.1581534636206925e-05
-5.645705687129521e-05,0.00012548001541290432,8.44436654006131e-05,0.00019640980463009328,1.581961987540126e-05,-0.00010687830399547238,-3.5884846965927863e-05,-3.473367542028427e-05,-4.994478695152793e-05,6.182468496263027e-06,-6.198429764481261e-05,7.170092430897057e-06,-2.3195709218271077e-05,-4.247322794981301e-05,-2.395376213826239e-05
-4.182915290584788e-06,4.404723586048931e-05,4.646917659556493e-06,1.599332972546108e-05,1.0149495210498571e-05,-1.5013844231859252e-05,-1.098675056709908e-05,2.677566953934729e-06,-8.277233064291067e-06,-3.868859494104981e-06,-9.444978786632419e-06,9.641647920943797e-06,9.383094038639683e-06,-4.709535278379917e-05,2.3306492948904634e-06
-5.465059348352952e-05,5.7118279073620215e-05,2.240837420686148e-05,9.110291284741834e-05,1.7607356312510092e-05,-7.24321052985033e-05,8.581313522881828e-06,-1.4533710782416165e-05,-4.607018126989715e-06,2.7862406568601727e-06,-4.213951251585968e-05,1.4352089863223227e-05,3.6638666642829776e-06,-5.1058414101134986e-06,-2.41516531787056e-05
-4.817231820197776e-05,7.055219612084329e-05,-4.279623681213707e-05,-1.100498229789082e-05,7.189839379861951e-05,-2.7340844098944217e-05,-3.0457751563517377e-05,2.740194759098813e-06,-7.728231503278948e-05,1.5072335372678936e-05,-5.298892574501224e-06,4.096177144674584e-05,3.2411640859209e-05,6.951974000912742e-06,1.7648399079916999e-06
-1.2642746696656104e-05,8.950751907832455e-05,7.912442060842295e-05,0.00011299679317744449,1.5405352314701304e-05,-7.262763756443746e-05,-2.333373049623333e-05,-2.22515118366573e-05,-3.358004823894589e-05,-1.9480299670249224e-05,-0.00010030361227109097,3.23094536724966e-05,-6.587979441974312e-06,-3.142213736850863e-05,-7.113828360161278e-06
