F7,F8,Fp1,Fp2,O1,O2,P7,P8,T7,T8,Cpz
-0.0001849902491812827,0.00019735132809728384,4.557240754365921e-05,-1.2753444025292993e-06,-1.8905746401287615e-05,-2.6954414352076128e-05,-0.00016416065773228183,6.195739842951298e-05,-1.4386583643499762e-05,5.068835162092e-05,5.5103505474107806e-05
9.052636414708104e-06,0.00026791005802806467,-2.4446126190014184e-05,-1.967218122445047e-05,-1.817250085878186e-05,-2.7679088816512376e-05,7.041729986667633e-06,-4.995919698558282e-05,-7.657799869775772e-07,-0.00012321542635618243,-2.00941312868963e-05
-2.1891019514441723e-05,3.271474088251125e-05,-2.503464997971605e-05,-3.691548272399814e-06,-6.37441053186194e-06,-8.398546924581751e-06,-5.50768800167134e-06,7.189848474808969e-06,-2.0217769815644715e-05,5.789782517240383e-05,-6.686780579912011e-06
-1.4741786173999571e-05,2.9284999982337467e-05,-7.418125107960805e-06,2.1682162696379237e-06,-1.56870337377768e-05,-6.618869520025328e-06,-1.9636673641798552e-05,1.1202177120139822e-05,-1.730245003273012e-05,5.157661871635355e-05,-1.2827073987864424e-05
-3.5144910725648515e-05,4.937434732710244e-05,-1.2581251212395728e-05,5.485830570250982e-06,-2.083162189592258e-05,-7.725492878307705e-06,-1.831818610753544e-05,1.891814190457808e-05,-3.8778845919296145e-05,5.497565160794693e-05,4.626340341928881e-06
-3.0152049021126004e-05,2.976597625092836e-05,-5.0299111080676084e-06,1.2617477295862045e-05,-1.1230522034111345e-05,8.823206599117839e-06,-1.5299390270229196e-05,1.2342036370682763e-05,-1.604552653589053e-05,1.704023998172488e-05,-2.8315384952293243e-06
-2.087568736897083e-05,2.3229885300679598e-05,-1.0665431545930915e-05,1.0002465387515258e-05,-1.8296871417078364e-05,-1.0077094430016587e-06,-2.1501810351765016e-05,1.595749108673772e-05,-2.1392906091932673e-05,3.9675956941209733e-05,4.874615683547745e-06
-4.4070908188587055e-05,4.199960676487535e-05,-5.082627467345446e-06,-0.00017911044415086508,1.0360658052377403e-05,6.501846655737609e-06,-7.786009518895298e-06,3.89984852517955e-05,-3.6647936212830245e-05,0.00017426807607989758,5.692636477760971e-07
-5.0528911742731e-05,4.186397359262628e-05,-6.43532257527113e-06,1.1088326573371887e-05,2.5138197088381276e-06,-2.7005753509001806e-06,3.0968985811341554e-06,-1.4774050214327872e-06,2.2041941520001274e-05,-1.4065887626202311e-05,-5.3968615247868e-06
-4.4813907152274624e-05,6.608719377254602e-05,-2.4375335897275363e-05,1.1563462066987995e-05,-2.8468846721807495e-05,6.342837650663569e-06,-4.130942397750914e-05,4.204994002066087e-05,-5.848845285072457e-05,0.00010723139712354168,-3.581886448955629e-05
-4.157020066486439e-05,1.3169337762519717e-06,-6.859127825009637e-05,-5.5173815781017765e-05,2.986715298902709e-05,2.5110208298428915e-05,2.498527646821458e-05,2.3108095774659887e-05,1.5891992006800137e-06,3.157773471684777e-05,2.7780697564594448e-05
