Fp1,F7,T7,P7,O1,Fp2,F8,T8,P8,O2,Cpz
-9.08709716895828e-06,-2.3768752726027742e-05,-6.4999526330211665e-06,-3.083987849095138e-06,-2.7093597054772545e-06,1.3799058251606766e-06,2.847720134013798e-05,1.442293842046638e-05,4.398696546559222e-06,2.92047843686305e-07,-3.821641257673036e-06
-8.007660653674975e-06,-5.203725231694989e-05,-2.4417195163550787e-05,-1.4131427178654121e-05,-8.509186507410504e-06,2.159870109608164e-05,4.953753523295745e-05,2.3263403818418738e-05,1.1811473314082832e-05,7.277336521838151e-06,-6.3857301881853346e-06
-5.278517164697405e-06,-5.4821619187350734e-05,-2.431575285299914e-05,-1.1374501355021494e-05,-1.1225864000152797e-05,2.4220443265221547e-05,5.9595547895696654e-05,2.2048765572435514e-05,9.191671779262833e-06,-1.2692721611529123e-06,-6.770899062757962e-06
-1.7540824501338648e-05,-3.1972738725016825e-05,1.523515038570622e-07,8.819461072562262e-07,-4.961648301105015e-07,4.417072375417774e-06,3.306891267129686e-05,2.0539133402053267e-05,-1.5093908132257638e-06,-3.8119633245514706e-06,-3.728333581420884e-06
1.502704617450945e-05,-3.289068445155863e-05,-3.0395519388548564e-05,-2.1035922145529184e-05,-2.129391759808641e-05,4.63407604911481e-05,6.542284063471016e-05,8.298158718389459e-06,-7.755998922220897e-06,-9.56647636485286e-06,-1.2150284078416007e-05
-3.87294230677071e-05,-7.474401718354784e-05,-1.105455396555044e-05,3.399386514502112e-06,4.296923293622967e-06,1.2839346709370147e-05,6.0310062508506235e-05,2.8160052352177445e-05,1.1314466064504813e-05,1.1060947144869715e-05,-6.8531878696376225e-06
-2.8152808226877823e-05,-4.4258257730689365e-05,-2.9290758902789094e-06,6.625144123972859e-06,8.976376193459146e-06,-7.450493285432458e-06,1.5640711353626102e-05,1.276492071156099e-05,1.3401424439507537e-05,1.152891945821466e-05,1.3853136351826834e-05
-6.51090158498846e-06,-3.769963700506196e-05,-1.330993472947739e-05,-1.2369937394396402e-05,-1.1325842933729291e-05,3.77693613700103e-05,5.5993717069213744e-05,7.590296263515484e-06,-5.278277058096137e-06,-6.6734792198985815e-06,-8.185358638002072e-06
-2.0932251572958194e-05,-4.1172821511281654e-05,-1.4820254250480502e-05,-5.278143135001301e-06,-7.833717063476797e-06,1.2470831052269205e-05,5.834814854921433e-05,2.329624703634181e-05,3.4627528293640353e-06,-3.749631105165463e-06,-3.7911590879957657e-06
-4.755138979817275e-05,-7.440274021064397e-05,-2.4648243424962857e-05,-7.151138561312109e-07,1.1169214303663466e-05,-7.558164725196548e-06,5.0646594900172204e-05,2.5552647457516287e-05,2.470040510615945e-05,1.8372640624875203e-05,2.443415178277064e-05
