Fp1,F7,T7,P7,O1,F3,C3,P3,FT9,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,TP9,TP10,Cpz
-3.525852878283331e-05,-3.499929152894765e-05,-2.348528914808412e-05,-7.646477484968273e-06,-5.727930329157971e-06,-1.6724910892662592e-05,-5.655906420543033e-06,1.2544724086183123e-06,-3.4565950045362115e-05,5.595640686806291e-06,4.342711326899007e-05,3.232610833947547e-05,1.14169542939635e-05,5.649271770380437e-07,1.5009549542810419e-05,1.0369595656811725e-05,1.1473153108454426e-05,3.480777013464831e-05,-1.1399177765269997e-05,9.14759948500432e-06,7.056041795294732e-08
-3.785114313359372e-05,-5.2281771786510944e-05,-4.935259767080424e-06,3.2716980058467016e-07,7.051195098028984e-06,-2.0636749468394555e-05,-9.083631539397174e-06,-3.2947682484518737e-06,-1.6986428818199784e-05,5.277214768284466e-06,5.43292462680256e-05,2.356148388571455e-05,2.1284204194671474e-06,1.8194896256318316e-07,5.17745047545759e-06,4.0733993955655023e-07,-2.2181782242114423e-06,4.4964281187276356e-05,-3.7758763937745243e-07,1.1754513252526522e-05,-7.49475123029697e-06
-9.945285455614794e-06,-1.9415277165535372e-05,-9.511615303381404e-06,-5.21363325844959e-06,-3.6871747397526633e-06,-4.339854058343917e-07,-1.8377528476776206e-06,-3.2939647098828573e-06,-1.690233943918429e-05,7.395072316285223e-06,2.1314625428203726e-05,4.879905191046419e-06,9.34672652874724e-06,4.7045789415278705e-06,8.385512273889617e-06,-1.1591491784201935e-06,4.589723062053963e-06,1.3990634215588216e-05,-7.47449212212814e-06,4.852704250879469e-06,-5.848151261034218e-07
-1.5966339560691267e-05,-3.773272965190699e-05,-1.3825458154315129e-05,5.750639502366539e-06,1.1991850897175027e-05,-3.0497846665866746e-05,-2.202610698986973e-05,-4.607146820490016e-06,-1.6468268768221606e-05,1.3928065669688294e-05,3.447480048635043e-05,1.9784068626904627e-05,1.5677304872951936e-05,1.6619231701042736e-05,-1.2039077773806639e-05,-1.5751495254789916e-05,8.912700195651269e-07,3.6539120628731325e-05,9.430928855636012e-06,2.6636928851075936e-05,-2.2809736037743278e-05
-0.0001224939369421918,-0.00019979456465080148,-4.62784828414442e-05,-4.589198852045229e-06,9.784994176698092e-06,-6.124518768046983e-05,-1.1926554066121753e-05,1.4014046882948605e-06,-8.746519097257988e-05,2.926354227383854e-05,0.00016285156561934855,6.845683219580678e-05,3.4185567528766114e-05,1.3231293905846542e-05,2.9998994250490796e-05,2.521035730751464e-05,1.0144276075152447e-05,0.00012614620209205896,-1.271440294203785e-05,3.88875371299946e-05,-3.0550550036423374e-06
-0.0001596314505150076,-0.00011501929111545905,-2.8521037165774032e-05,1.557933148887969e-05,3.0218542633519974e-05,-6.472246059274767e-05,-1.7225240640073025e-05,5.471973963722121e-06,-4.993403399566887e-05,-5.7077111705439165e-05,8.712533326615812e-05,6.379300612024963e-05,4.876204002357554e-05,3.390429264982231e-05,5.6458702601958066e-08,7.5667576311388984e-06,1.879195929177513e-05,0.00012195746603538282,1.5042714949231595e-05,5.9692443755920976e-05,-1.5831700466151233e-05
1.9841729226754978e-05,-4.66993915324565e-05,-4.7016892494866624e-05,-2.477595376149111e-05,-1.3967409358883742e-05,-9.203360605170019e-06,-1.5907163515294087e-05,-1.5477331999136368e-05,-8.25020506454166e-05,0.00010120164733962156,0.00010761323574115522,2.6226896807202138e-05,6.041618689778261e-06,-7.72005569160683e-06,3.380148882570211e-05,1.7280432302868576e-06,-1.0383923836343456e-06,1.5141682524699718e-05,-3.435481994529255e-05,-2.015953214140609e-06,-1.0917567124124616e-05
8.854294719640166e-07,-5.433929072751198e-05,-1.4375307728187181e-05,-1.1730451660696417e-05,3.172535798512399e-07,-9.625707889426849e-06,-8.138074917951599e-06,-5.408372089732438e-06,-2.786122786346823e-05,3.0130693630781025e-05,4.269148121238686e-05,9.327003454018268e-06,1.732804224729989e-05,1.1283280173302046e-05,7.184522473835386e-06,1.5351724869105965e-06,7.538450290667242e-06,1.5994951809261693e-05,-1.4324470612336881e-05,6.129745997895952e-06,-4.543124759948114e-06
4.6335524530149996e-05,-1.857209554145811e-05,-3.822924009000417e-05,-2.080501326418016e-05,-1.2653020348807331e-05,8.178978532669134e-06,-1.0756712072179653e-06,-4.162229856774502e-06,-6.330449923552806e-05,8.849160622048657e-05,5.3466123063117266e-05,4.4665766836260445e-06,-8.804729077382945e-06,-1.1655592061288189e-05,3.739664680324495e-05,1.1747531061701011e-05,-1.177423655462917e-06,-2.5595151782908943e-05,-3.1901613510854077e-05,-1.9015382349607535e-05,6.868680998195487e-06
-5.082672942080535e-06,-1.6376805888285162e-05,-7.162169485042114e-06,-1.5214357063086936e-06,-1.4230029137252131e-06,-1.9073695511906408e-06,-3.1742447390570305e-06,-3.025626710950746e-06,-1.5693658497184515e-05,9.365109008285799e-06,2.1480438590515405e-05,1.177320609713206e-05,-3.904002596755163e-07,-2.343045480301953e-06,8.96409210326965e-06,3.4359849223619676e-06,1.1294487194390967e-06,8.917510058381595e-06,-3.4042634524666937e-06,-1.1986285244347528e-06,-2.3624638743058313e-06
-2.062614248643513e-05,-0.00010171051508223172,-5.267285814625211e-05,-1.7157028196379542e-05,1.788294412108371e-06,-3.6201254260959104e-05,-2.988588971675199e-05,-1.7271300066568074e-05,-7.889611879363656e-05,8.5756655039404e-05,0.00013394471261563012,4.1131802390736993e-05,1.0313840789422102e-05,-7.676415862079011e-06,3.308650309463701e-05,-3.4929889807244763e-06,-9.857838449534029e-06,8.462227881977924e-05,-2.0110831428610254e-05,2.3981817577123365e-05,-1.9066729237238178e-05
-9.02352185221389e-05,-0.0001160499086836353,-4.235321648593526e-05,-7.517597168771317e-06,1.3455364751280285e-06,-3.5521357858669944e-05,-8.729410865271348e-06,4.227867066219915e-06,-8.174517824954819e-05,9.754341590451077e-06,9.869231871562079e-05,5.7094255680567585e-05,3.528381694195559e-05,1.4786861356697045e-05,2.9798245122947264e-05,2.624301578180166e-05,2.2847625587019138e-05,6.304329076556314e-05,-1.6411686374340206e-05,3.1829083809498115e-05,3.617315087467432e-06
-2.993614543811418e-05,-5.0234048103448004e-05,-1.2467702617868781e-05,-4.134108166908845e-09,4.343901537140482e-06,-2.1540185116464272e-05,-9.463049536861945e-06,7.222437261589221e-07,-2.5221070245606825e-05,2.412802700746397e-06,3.688635479193181e-05,1.969795448530931e-05,1.2724785847240128e-05,1.1861626262543723e-05,9.845598469837569e-07,4.632051059161313e-06,1.1154355888720602e-05,3.676516644190997e-05,-1.1927543255296769e-06,1.5960582459229045e-05,-8.087306468951283e-06
-5.449179298011586e-06,-2.5493159228062723e-05,-1.3941134156425505e-05,-1.784412944516589e-06,-7.761618689983152e-07,-1.4815403821089035e-05,-1.0752149364634533e-05,-5.450734761325293e-06,-1.6012924106689752e-05,2.1893842131248675e-05,4.3876747440663166e-05,1.5177408840827411e-05,-1.420522494299803e-06,-4.251337486493867e-06,8.172875936907076e-06,-3.0906221581972204e-06,-6.67754147798405e-06,2.6683855082865193e-05,-1.37651409204409e-06,5.540506208490115e-06,-1.0053438472823473e-05
-1.6742936054470192e-05,-4.972290662408341e-05,-2.5836536906354013e-05,-6.048369641575846e-06,-4.2461724660824984e-06,-1.72384378629431e-05,-1.0058919315270032e-05,-3.0916635296307504e-07,-4.837419146497268e-05,3.741664932022104e-05,6.199390372785274e-05,1.744149994920008e-05,6.908188424858963e-06,-1.5461014299944509e-06,1.9119237094855634e-05,4.679158223552804e-06,7.322571491386043e-07,3.778511472773971e-05,-9.864263120107353e-06,7.746202683733827e-06,-3.8342152492987225e-06
-2.885653611883754e-05,-4.748384617414558e-05,-1.5226571122184396e-05,-2.7634955586108845e-06,6.20269202045165e-06,-2.337992555112578e-05,-1.72314991004896e-05,-1.0171982950168967e-05,-1.9841399534925586e-05,7.519932296418119e-06,5.508893809746951e-05,2.6751246195999556e-05,1.3132243111613207e-05,5.733749617320427e-06,3.754332283278927e-06,-3.701792820720584e-06,-3.50460504705552e-06,4.881451877736254e-05,-7.685296168347122e-07,2.0168439384349313e-05,-1.423590765625704e-05
-5.565878382185474e-05,-5.387702549342066e-05,-1.7475925233156886e-05,-5.855459534132024e-06,8.521456038579345e-07,-2.1201489289524034e-05,-9.823230357142165e-06,-5.862154324631774e-06,-2.7594982384471223e-05,2.7831169973069336e-06,5.496259473147802e-05,3.1939795007929206e-05,1.540668927191291e-05,4.199961949780118e-06,1.1877443739649607e-05,7.966009434312582e-06,5.245554120847373e-06,4.589027594192885e-05,-1.7285015019297134e-06,2.2346095647662878e-05,-4.392124537844211e-06
-0.0001277474257221911,-0.00011162592090840917,-2.1974061837681802e-05,2.978720203827834e-07,1.2109010640415363e-05,-5.185079498915002e-05,-1.9788379518104193e-05,-9.171385499939788e-07,-3.550916030725659e-05,-3.304007987026125e-05,0.00010168026528845076,6.215888970473316e-05,3.8370300899259746e-05,2.134924955043971e-05,-4.754064889311849e-06,6.243612290290912e-06,1.1750613694516687e-05,0.00010901011046371423,5.780512651654135e-06,5.195771245780634e-05,-1.350112097497913e-05
