Fp1,F7,T7,P7,O1,F3,C3,P3,FT9,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,Cpz
-6.42458071524743e-05,-6.932004544069059e-05,-2.170416200897307e-05,1.5368677850347012e-05,9.291549929457688e-06,-3.0221513497963315e-05,-5.62596278541605e-06,1.5542854725936195e-05,-4.0925222492660396e-05,-4.339017323218286e-05,2.4411478307229117e-05,4.0383268697041785e-05,4.0947459638118744e-05,2.7115168450109195e-05,-2.7224859877605923e-06,1.3515580349121592e-05,2.847296400432242e-05,3.2669882784830406e-05,3.0436492124863435e-05
-3.252138503739843e-05,-5.5367248933180235e-05,-3.3363264719810104e-05,-4.9247635615756735e-05,-2.0410788692970527e-05,-1.1295850072201574e-05,-1.1172850463481154e-05,-2.2820358935859986e-05,-3.7019186493125744e-05,-3.082348484895192e-06,6.222099364094902e-05,5.139395307196537e-05,2.6368925773567753e-05,1.07609560018318e-05,2.7912670020668884e-05,2.8193711386848008e-05,1.1886110542036477e-05,6.37614939478226e-05,-6.197894492743217e-06
-2.2581101347896038e-05,-5.237401637714356e-05,-2.33589803428913e-05,-1.7093503515752673e-05,-1.0766494966674145e-05,-6.1742202888126485e-06,-4.540028839983279e-06,-7.333757821470499e-06,-3.601969092414947e-05,1.2699864782916848e-05,4.707452353613917e-05,2.9829337108822074e-05,1.3563442962549743e-05,1.1428580819483614e-06,2.1384019873949e-05,1.5962635643518297e-05,6.086572739150142e-07,4.668721248890506e-05,-8.710757128937985e-06
-8.051771965256194e-05,-0.0001266198983103095,-3.693324788400787e-05,8.118020787151181e-06,1.3165141581339412e-05,-2.1767189537058584e-05,1.5556761354673654e-06,1.1094723049609456e-05,-8.26657978905132e-05,6.269487130339257e-06,6.634939745708834e-05,3.5068516808678396e-05,2.6587864340399392e-05,2.7000996851711534e-05,1.6336977296305122e-05,1.8750857407212607e-05,2.9741339858446736e-05,6.187961298564915e-05,2.6585248633637093e-05
-4.467148391995579e-05,-9.714428597362712e-05,-3.3528144740557764e-05,7.726699095655931e-06,2.451385137192119e-05,-2.137977799065993e-05,-9.001276794151636e-06,9.345764595991568e-06,-6.472855056927074e-05,5.941205017734319e-06,5.904878707951866e-05,2.0865923033852596e-05,1.8924118876384455e-05,2.277686263596479e-05,1.399170832883101e-05,9.553924428473692e-06,1.3337300970306387e-05,4.81330425827764e-05,1.6294332453981042e-05
-4.304559206502745e-05,-8.165740655385889e-05,-4.034160156152211e-05,-2.2758655745747092e-05,1.5588566384394653e-06,-2.450218835292617e-05,-2.067441278086335e-05,-1.6686710296198726e-05,-4.9888503781403415e-05,4.118684591958299e-05,8.05760773801012e-05,1.657552729739109e-05,2.4224669687100686e-05,2.526766820665216e-05,3.918656921086949e-05,1.328528514932259e-05,-3.950811333197635e-06,5.8060068113263696e-05,3.5843136174662504e-06
-2.1745858248323202e-05,-6.884874164825305e-05,-2.4004248189157806e-05,-6.643397682637442e-06,-2.771707841020543e-06,-2.844264599843882e-06,3.1288167008369783e-06,-6.388572728610598e-07,-5.3109732562006684e-05,3.850824032269884e-05,4.8803708978084615e-05,1.220059311890509e-05,-4.622878805093933e-06,-7.707376880716765e-06,2.8679912247753236e-05,2.0352890260255663e-05,8.55054531712085e-06,3.143192498100689e-05,1.2804302969016135e-06
-7.580622514069546e-05,-0.00011653437468339689,-1.7581528481969144e-05,1.0465353625477292e-05,-1.9404674276302103e-06,-3.429172011237824e-05,-1.1249362387388828e-05,-1.8080218069371767e-06,-5.8328243540017866e-05,1.3440205293591134e-05,9.248689457308501e-05,5.230182068771683e-05,1.2504445294325706e-05,-1.2928157957503572e-06,2.5514830667816568e-05,1.7186492186738178e-05,2.4846176529536024e-06,9.120914182858542e-05,1.2389555195113644e-06
-3.6888435715809464e-05,-8.709548274055123e-05,-3.1543309887638316e-05,-1.6587174883397893e-05,-1.426311655450263e-06,-1.1957258834627282e-05,-1.0581569085843512e-05,-1.1272370940673682e-05,-5.798616984975524e-05,4.784148040926084e-05,6.584830225619953e-05,4.8560767027083784e-05,3.243743776693009e-06,1.59673049893172e-06,2.1974977244099136e-05,1.3910846746512107e-05,2.9750628982583294e-06,6.476565977209248e-05,-5.379482900025323e-06
-0.00010065674359793775,-0.00014159730199025944,-5.5230926591320895e-05,-1.4983593246142846e-05,5.2145750260024215e-06,-3.3556713788129855e-05,-1.2751644135278184e-05,-5.684379573267506e-06,-8.557679757359438e-05,-1.3788826890959172e-05,0.00011463499322417192,6.59867946524173e-05,2.367880574638548e-05,1.1740102650037443e-05,4.7517730308754835e-05,4.4882930524181575e-05,2.4219492843258195e-05,0.00010467074753250927,2.1280748114804737e-05
-4.767166410601931e-05,-0.00012649976815737318,-5.408008291851729e-05,-2.3047567992762197e-05,-2.0306133592384867e-06,-2.7262012736173347e-05,-2.0982223759347107e-05,-1.116865723815863e-05,-8.21949706732994e-05,4.794918459083419e-05,0.00010577247849141713,4.602867193170823e-05,1.4448571278080635e-05,7.579897896903276e-06,4.7125380660872906e-05,1.970958226138464e-05,8.697268640389666e-06,8.803780474408995e-05,9.58872442424763e-06
-5.042162592872046e-05,-9.495633639744483e-05,-2.226792275905609e-05,7.0908364477872965e-06,6.745521432094392e-06,-2.2546820673596812e-05,-4.903090029984014e-06,-2.20947663365223e-06,-6.0050143247281085e-05,1.2197044270578772e-05,7.85892689236789e-05,3.900354204233736e-05,1.814897041185759e-05,9.362220453112968e-06,1.1465535862953402e-05,-8.202514436561614e-07,-4.809121037396835e-06,8.055034686549334e-05,-1.6850287920533447e-07
-4.254408668202814e-05,-0.00015583030153720756,-6.445337157856557e-05,-2.7091176434623776e-05,-7.491160147310438e-06,-3.2931297027971596e-05,-2.18195706906954e-05,-1.1574430118344026e-05,-0.00010637986417805223,8.35564496810548e-05,0.00012325637726462446,5.364477465263917e-05,1.794372383301379e-05,7.079052920744289e-06,4.2552052036626264e-05,1.9392490685277153e-05,1.4386228031071369e-05,0.00010714829113567248,1.1558167898328975e-06
-2.03000454348512e-05,-6.053350898582721e-05,-2.331598079763353e-05,-6.289947577897692e-06,4.174041350779589e-06,-1.714148800147086e-05,-7.857826858526096e-06,-4.0153895497496706e-06,-4.8346892072004266e-05,3.1789200875209644e-05,4.020235724055965e-05,2.2826856252322614e-05,1.88319190783659e-05,1.1854521289933473e-05,1.148682895291131e-05,6.300926997937495e-06,8.189228083210764e-06,3.144430866086623e-05,7.008943612163421e-07
-2.8807153285015374e-07,-6.072274118196219e-05,-3.688155811687466e-05,-1.9511274331307504e-05,-9.600938710718765e-06,-8.275261279777624e-06,-8.970108865469228e-06,-7.069923412927892e-06,-5.60741827939637e-05,4.659588375943713e-05,6.005053364788182e-05,2.3339416657108814e-05,-9.616780516807921e-06,-8.263055974566669e-06,3.245117022743216e-05,2.1173375998273514e-05,1.38107975544699e-06,4.387128137750551e-05,-3.588841536839027e-06
