C3,C4,O1,O2,F3,F4,F7,F8,Fz,Fp1,Fp2,P3,P4,Pz,T7,T8,P7,P8,Cpz
-4.355988494353369e-06,1.350059825511174e-05,-5.970226993667893e-06,1.961226416824502e-06,-1.4776317584619392e-05,1.9839189008052927e-05,-5.8204514971293975e-05,5.184986912354361e-05,1.9205512842290773e-06,-3.2729640224715695e-05,1.1378303497622255e-05,-2.3472829298043507e-06,7.485765650017129e-06,3.3047370671113185e-06,-1.9085871429069812e-05,2.0119224700465566e-05,-8.714053883807082e-06,9.9188242757009e-06,4.905608307126386e-06
-2.882081616917276e-06,7.138964974728879e-07,-8.26922132546315e-07,-9.329783097200561e-07,-4.782358701049816e-06,9.76272531261202e-06,-1.9761188013944775e-05,1.8177510355599225e-05,3.3345736483170185e-06,-8.279992471216246e-06,1.036714093061164e-05,-3.5929031696468883e-06,-1.7449378901801538e-06,-1.126834604292526e-06,-2.7779115043813363e-06,4.29877036367543e-06,-7.924421652205638e-07,1.323922333540395e-06,-4.779858500114642e-07
-1.1115103006886784e-06,4.625654582923744e-06,3.335416295158211e-06,9.724085430207197e-07,-8.567340046283789e-06,5.072983185527846e-06,-2.2389591322280467e-05,2.2977757907938212e-05,1.0112162271980196e-06,-1.8622478819452226e-05,-6.525751814479008e-07,-2.9513371373468544e-06,2.6034058464574628e-06,8.980080110632116e-07,-4.244815499987453e-06,8.283115676022135e-06,1.6555477486690506e-06,6.2770691329205874e-06,8.27061896302439e-07
-5.038656126998831e-06,5.327270628185943e-06,1.1285799246252282e-06,1.0870421647268813e-06,-1.0568261814114521e-05,1.1293560874037212e-05,-2.9037003514531534e-05,2.7456395400804467e-05,-3.2123625715030357e-07,-1.7400222532160114e-05,8.126315151457675e-06,8.779542071124524e-07,2.1132506162757636e-06,3.430379706514941e-06,-1.1484852620924357e-05,1.0782549225041294e-05,-6.274788347582216e-06,6.079701449834829e-06,2.422020770609379e-06
-4.959935608894739e-07,6.068912519197056e-06,-5.505719400389353e-07,2.4260928057628917e-06,-3.2189791454584338e-06,5.405113370215986e-06,-2.0387845324876253e-05,9.652603694121353e-06,4.081097586094984e-06,-1.3145637240086216e-05,-3.27898419527628e-07,1.3851358744432218e-06,5.066220523985976e-06,2.7469911856314866e-06,-5.8100833371099725e-06,4.783580607181648e-06,-2.587131348263938e-06,2.13182283914648e-06,2.7765713355165644e-06
-1.6073116739789839e-06,3.3808694297476904e-06,-2.2618860384682193e-07,3.3625597097852733e-06,-5.469561074278317e-06,9.6021190358897e-06,-2.4988389668578748e-05,1.6246394125118968e-05,1.4254478628572542e-06,-1.5436320609296672e-05,3.013806235685479e-07,-1.8471901057637297e-06,4.753125494971755e-06,2.0491261238930747e-06,-4.795643690158613e-06,9.611199232040235e-06,-1.4841716620139778e-06,3.6679198274214286e-06,1.4546367310686037e-06
-2.7413693715061527e-07,8.248678980748991e-06,3.974658284278121e-06,2.0378325302772282e-06,-9.188258673020755e-06,3.757885224331403e-06,-2.9329091375984717e-05,1.9504755073285196e-05,7.174762686190661e-07,-1.8984111193276476e-05,-6.069096116334549e-06,1.8271521184942685e-08,5.953475692876964e-06,2.617323389131343e-06,-3.2320442642230773e-06,1.1614597497100476e-05,2.4578707780165132e-06,4.4403302297268965e-06,1.7335796371753531e-06
-3.7599119195874664e-06,4.485629233386135e-06,-6.400350230251206e-06,-4.196400823275326e-06,-1.4873989471198001e-06,1.1262635325692827e-05,-1.0081063010147773e-05,1.7864299934444716e-05,6.992836802055535e-06,4.7546950554533396e-07,1.554282698634779e-05,-5.66823837289121e-06,5.035447827594908e-07,-2.8848817237303592e-06,-9.189225238515064e-06,1.9100552890449762e-06,-1.0248048511130037e-05,-2.460290033923229e-06,-2.6614908392730285e-06
-2.2269804276220384e-06,1.7416077753296122e-06,-5.238440735411132e-06,-2.288606495426393e-06,-2.4901601136662066e-07,7.037348950689193e-06,-1.2277627320145257e-05,1.6593950022070203e-05,4.470599151318311e-06,1.7760653463483322e-06,1.2731905371765606e-05,-4.244955277954432e-06,-1.6111596323753474e-06,-2.237138232885627e-06,-7.1306936320070236e-06,3.651359406831034e-06,-7.066052148729796e-06,-2.883264642150607e-06,-5.489016530191293e-07
-4.253973656886956e-06,2.6324382815801073e-06,-5.641622664143142e-06,-1.8672677697395557e-06,-7.2194043241324835e-06,1.1620458508332376e-05,-2.830676066878368e-05,3.3407469345547725e-05,6.577005564167848e-06,-5.617617716779932e-06,2.795657701426535e-05,-1.3524017958843615e-06,-3.3426317713747267e-08,-2.8551195896397985e-06,-1.4234549780667294e-05,9.75547209236538e-07,-7.117148896895742e-06,-2.573721303633647e-06,-2.096481921398663e-06
