F7,T7,P7,O1,F3,C3,P3,FT9,Fz,Cz,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,PO7,PO8,Cpz
-1.2934915957885096e-05,-7.570491675323865e-06,1.8616981236618813e-06,3.6519044215310714e-06,-6.627093512179272e-06,-1.235316926795349e-05,-4.981979600415798e-06,-5.197898872211226e-06,8.149013410729822e-07,-1.7963148479793745e-07,9.984556754716323e-06,2.455648336763261e-05,7.648346127098193e-06,-1.7608590496820398e-06,-1.6246414134002407e-06,1.1705708175213658e-05,-2.6471117280379985e-06,-1.2876977507403353e-05,1.671846075623762e-05,6.713046332151862e-07,-1.675945441093063e-06,-7.182650733739138e-06
-3.0221490987969446e-05,-1.1766159786930075e-05,3.8114585549919866e-06,4.464452771912875e-06,-2.017362521655741e-05,-1.8057173747365596e-05,-4.515396994975163e-06,-1.0979299531754805e-05,2.290619931955007e-06,1.2753291684930446e-06,2.9360886628637672e-06,1.906894215153443e-05,1.0952727734547807e-05,5.869441224604088e-06,5.886529265808349e-06,1.1390292456781026e-05,1.0096572623297106e-05,8.032561083837209e-06,1.2603712548298063e-05,-1.3150793733984756e-06,2.3285419388230366e-06,-3.979044777224772e-06
-1.0243871656712145e-05,-8.277899951281142e-06,-7.749973640613916e-06,-8.217242225327936e-06,-1.2629029015442939e-05,-1.551333775751118e-05,-1.354937285213964e-05,-2.822780515998602e-07,-5.323299546944327e-06,-9.041637440532213e-06,1.8000365798798157e-05,3.6252340805731365e-05,2.2827232442068635e-05,4.39999958956605e-06,-5.339401241144515e-06,1.0681579169613542e-05,2.3182622044259915e-06,-4.419109245645814e-06,3.260191988374572e-05,-6.156127028589253e-06,-4.931004013997153e-06,-1.5408118201776233e-05
-3.741534237633459e-05,-1.3441027022054186e-05,-6.765363195881946e-06,-3.2035641197580844e-06,-6.119880708865821e-06,-9.230778232449666e-06,-6.649862825724995e-06,-1.9339145637786714e-05,3.923341864719987e-07,-2.0767129171872512e-07,5.035730282543227e-06,3.448018105700612e-05,1.5339572655648226e-05,5.22301434102701e-06,5.146775947650895e-07,1.1518372048158199e-05,1.730057192617096e-06,5.007916797694634e-06,2.4428849428659305e-05,1.8132845980289858e-06,3.057160029129591e-06,-6.168514914861589e-06
-0.00015165570897579528,-7.918522305772058e-05,-3.642000024228764e-05,-2.0256599555068533e-05,-4.1619887724664295e-05,-3.036856111293673e-05,-1.3554203633248108e-05,-0.00014527548182741157,6.160089697004878e-06,9.92152718026773e-06,7.271453978319187e-05,0.0001883902486952138,4.88687487631978e-05,9.434079402126372e-06,-1.2083853562216973e-05,7.280935096787289e-05,2.9116912628524005e-05,5.27980228071101e-06,7.165420174715109e-05,1.1035804163839202e-05,8.22181118564913e-06,-3.187592028552899e-06
-9.503768887952901e-05,-4.415155217429856e-05,-1.5478038221772294e-05,-4.288817763153929e-06,-2.946779318335757e-05,-1.776611699710884e-05,-6.014083623995248e-06,-7.88426368671935e-05,2.0662647557401215e-06,1.6746023376867925e-06,1.8875993191613816e-05,9.936241985997185e-05,3.4971541026607156e-05,1.2209026522214117e-05,1.410071945429081e-06,4.1280324239778565e-05,2.5692055260151392e-05,6.825903028584435e-06,4.246739263180643e-05,5.649237323268608e-06,1.9295182482892415e-06,-3.367621275174315e-06
-4.483956490730634e-05,-2.4203322936955374e-05,-1.242129201273201e-05,-1.1253906677666237e-05,-1.3823990002492792e-05,-1.0309659273843863e-05,-6.036312470314442e-06,-3.999598993686959e-05,3.0153707939462038e-06,2.223275714641204e-06,2.1891297365073115e-05,5.5610878007428255e-05,2.2409052462535328e-05,2.9616246592922835e-06,-1.2785315334440384e-05,2.1859696062165312e-05,1.6166201021405868e-05,-9.61318392000976e-07,2.5136049657703552e-05,6.117994189480669e-06,2.7003920877177734e-06,-3.4611584851518273e-06
-4.357751686256961e-05,-2.0063122519786702e-05,-6.217571808520006e-06,5.172272608433559e-06,-1.1471712412003399e-05,-1.1775862390095426e-05,-4.364734877526644e-06,-3.540570105542429e-05,9.994073479901999e-08,1.997788729113381e-06,-2.8194981496199034e-06,3.3535368856973946e-05,1.4104599927122763e-05,1.4833104160061339e-05,1.793156673102203e-05,1.1167905540787615e-05,1.1049553108932741e-05,1.4352749985846458e-05,1.6663606174915913e-05,-8.758750027482165e-07,-9.187843943436746e-07,-3.4180746979473042e-06
-8.563464234612184e-05,-4.122147265661624e-05,-1.1609639841481112e-05,5.778629656560952e-06,-3.238655881432351e-05,-2.02968658413738e-05,-9.039038729952154e-06,-6.20979708401137e-05,-9.713244708109414e-06,-5.514651320481789e-06,1.8354175381318782e-05,9.486611679676571e-05,4.0579579945188016e-05,2.7214292458666023e-05,2.1615177047351608e-05,2.8751481181643612e-05,8.15020104028008e-06,9.428934617972118e-06,5.686652730219066e-05,-9.835388027568115e-06,-9.843899078987306e-06,-1.4411747997655766e-05
-2.7009191398974508e-05,-2.216240545749315e-05,-8.016514584596734e-06,-2.5411009119125083e-06,-8.255964132786175e-06,-5.696358584827976e-06,-4.2718220356618986e-06,-2.478047554177465e-05,-7.984635885804892e-08,-1.855860318755731e-07,4.5818342186976224e-07,2.6018211428890936e-05,2.3300547127291793e-05,5.679888317899895e-06,1.6345638869097456e-06,8.400176739087328e-06,1.9314157611916016e-05,-3.862376615870744e-06,1.8657828150026035e-05,1.405113835062366e-06,3.7066365621285513e-06,-1.713663095870288e-06
-3.469432704150677e-05,-2.8764945682269172e-05,-1.2172999049653299e-05,3.0385563150048256e-06,-2.279761974932626e-05,-1.491040166001767e-05,-2.1982486941851676e-06,-3.1534512345388066e-05,-9.365539881400764e-07,-3.240718797314912e-06,-4.92826529807644e-06,1.5139758033910766e-05,2.1165295038372278e-05,2.1098332581459545e-05,1.714749487291556e-05,1.7520843357488047e-05,2.470094796080957e-05,4.100834394193953e-05,7.73952342569828e-06,-4.3193495002924465e-06,-6.689289875794202e-06,-1.3718672562390566e-06
-2.543193750170758e-05,-3.932237632398028e-06,-5.59815362066729e-07,-5.0664957598201e-06,-6.546525128214853e-06,9.267832865589298e-07,3.923585609300062e-06,-1.576522652158019e-05,2.1328289676603163e-06,1.8770593186445694e-06,-2.6110283215530217e-06,1.894510876354616e-05,7.858718163333833e-06,1.0329029009881197e-06,-4.939470159115444e-06,6.1939226725371554e-06,6.0742117966583464e-06,4.6123273023113143e-07,6.693056548101595e-06,1.0032952104666037e-06,2.0832794689340517e-06,5.646753606924904e-06
-3.483089130895678e-05,-1.7861319520307006e-05,-9.817946647672215e-06,-8.644905619803467e-06,-1.4982844277255936e-05,-6.396664957719622e-06,-2.9790069220325677e-06,-2.2039647774363402e-05,-2.195825913986482e-06,1.8265259313920978e-06,-9.723771654535085e-07,3.485391334834276e-05,2.1954819658276392e-05,1.0078314176098502e-05,-4.951255505147856e-06,1.2873749938080437e-05,1.539924551252625e-05,2.9937841645732988e-06,2.829230379575165e-05,-6.939944796613418e-08,-1.0498841049866314e-06,-1.480686478316784e-06
-5.4268326493911445e-05,-1.7715615285851527e-05,-6.465122851295746e-06,3.171842081428622e-06,-1.8432634533382952e-05,-8.543898729840294e-06,-2.5481588181719417e-06,-3.3707659895299e-05,-4.470851081350702e-06,-8.105537290248321e-06,7.837307805402816e-06,5.679852984030731e-05,2.6935233108815737e-05,1.577247712702956e-05,6.6557759055285715e-06,5.628219696518499e-06,-2.2440090106101707e-06,9.547354238748085e-06,4.120138419239083e-05,-6.155026540000108e-06,-7.568215778519516e-06,-3.3230678582185647e-06
-2.458971539454069e-05,-3.748796007130295e-05,-1.9569302821764722e-05,-6.762642442481592e-06,-4.434503694028535e-06,2.2002452624292346e-06,1.8399005057290196e-06,-3.7547479678323725e-05,4.451871745914104e-06,4.460149511942291e-06,7.906523933343124e-06,1.6816633433336392e-05,6.957997129575233e-06,9.190811397274956e-06,6.364953151205555e-06,1.280690889871039e-05,1.0937282695522299e-05,1.1991142855549697e-05,9.20421280170558e-06,6.906662349592807e-06,9.411099199496675e-06,8.945207810029387e-06
-2.282393234054325e-05,-6.858746928628534e-06,-9.190585615215241e-06,-3.066880992719234e-06,-1.604339315974812e-05,-1.2125181683586561e-05,-2.9439383979479317e-06,-1.5881321814958937e-05,-5.678452453139471e-06,-6.741497713846911e-06,7.4220693022652995e-06,2.6038405849249102e-05,1.537440721222083e-05,1.0486216019955918e-05,4.5433610011968995e-06,7.892989515312365e-06,1.1452190847194288e-05,1.0305709338354063e-05,2.008029605349293e-05,-6.225462584552588e-06,-2.887776872739778e-06,-3.1284766919270623e-06
-2.0498012418102007e-05,-2.21940563278622e-05,-1.1884107607329497e-05,-1.2200221590319416e-05,2.7559603950066958e-06,-2.618658754727221e-06,-8.849427501900209e-07,-2.740586660365807e-05,1.1361620522620797e-05,1.148922950733322e-05,1.1374711903044954e-05,2.497537570889108e-05,2.774359018076211e-07,-7.312418119909125e-06,-1.1530084748301306e-05,2.2467164853878785e-05,2.516428594390163e-06,-8.898416865577019e-06,7.174233360274229e-06,1.2278017493372317e-05,1.3689378420167486e-05,5.06723176840751e-06
-2.5386739302746264e-05,-1.405943589816161e-05,-8.058405001065694e-06,-5.881745508418135e-07,-9.912923701449472e-06,-2.1937439669272862e-06,1.6880767361726612e-07,-1.746639645716641e-05,7.858807293814607e-07,-1.3558912996813888e-06,3.470374110747798e-06,2.3793737852884078e-05,8.292235065709974e-06,2.530623532948084e-06,6.766978913219646e-06,5.288815032145067e-06,3.087215389996345e-06,5.34073524249834e-06,1.8620079941911172e-05,-2.6888515094469767e-06,9.27611836232245e-08,3.472317700925487e-06
