Cz,F7,F8,Fp1,Fp2,O1,O2,P7,P8,T7,T8,Cpz
1.22253370591352e-05,-7.517600352002773e-05,7.136903877835721e-05,-4.2315792825320386e-05,1.1786640243371949e-05,5.373226485971827e-06,1.0700691291276598e-05,-8.20599802864308e-06,1.8052799077850068e-05,-2.7102188141725492e-05,3.2322695915354416e-05,-9.030449291458353e-06
1.1263759631674475e-05,-7.312963498407044e-05,7.311672379728407e-05,-2.4202821805374697e-05,2.9286214157764334e-05,-1.1321972124278545e-06,3.479475708445534e-06,-8.46315197122749e-06,6.470387234003283e-06,-2.7393573873268906e-05,2.293712714163121e-05,-1.2232318113092333e-05
1.3669384770764736e-05,-8.50353972055018e-05,8.429871013504453e-05,-1.6403452264057705e-05,4.28669936809456e-05,-1.1972436823270982e-05,6.717048563587014e-06,-1.9886921108991373e-05,1.6418143104601768e-05,-4.143842579651391e-05,2.6398270165373106e-05,-1.5631913811375853e-05
1.2474944924178999e-05,-8.147361586452462e-05,8.550749771529809e-05,5.136686013429426e-06,6.025337324899738e-05,-9.60993403964494e-06,-1.0850470516743371e-05,-1.732901137074805e-05,-5.463609795697266e-06,-3.6940166410204256e-05,1.2778944181945917e-05,-1.44846353578032e-05
-2.2274693378676602e-05,-2.5771322725631762e-05,1.938983632499003e-05,-7.243796062539332e-06,2.242519394712872e-05,1.264998559236119e-06,1.0923644367721863e-05,-1.0223613571724854e-05,2.9161369184294017e-05,-2.5152854504995048e-05,3.007386658282485e-05,-2.2572624402528163e-05
8.71419786108163e-06,-0.00011117438407381997,0.0001362287330266554,-2.0348848352114146e-05,6.118782675912371e-05,-1.9023964341613464e-05,-6.627385801039054e-06,-2.749270697677275e-05,1.3991617947795021e-05,-5.427456011375398e-05,4.4139305828139186e-05,-2.5319840005977312e-05
-5.78772664994176e-06,-7.769879266561475e-05,8.924337271309923e-05,1.4950313925510272e-05,6.89349508320447e-05,-1.34659394461778e-05,-4.8006641009124e-06,-2.1200909031904303e-05,-1.4658353393315338e-06,-4.2914592995657586e-05,1.3472909756728768e-05,-1.9267084553575842e-05
2.0075282691323082e-05,-0.00012124581553507596,0.0001263921003555879,-5.8688141507445835e-05,3.0435752705670893e-05,-8.965853339759633e-07,8.934332981880289e-06,-1.256680116057396e-05,2.472646087881003e-05,-4.3220221414230764e-05,4.722093672171468e-05,-2.116730138368439e-05
-1.8920026150226477e-06,-0.00010760030818346422,0.00012727458943118108,-5.0839540563174523e-05,3.521253711369354e-05,-7.099275990185561e-06,9.744224826135905e-06,-1.952859565790277e-05,2.9660578547918703e-05,-4.23827063968929e-05,5.600560439233959e-05,-2.8555103767757828e-05
1.499143945693504e-05,-0.00010426662629470229,0.00010541304800426587,-1.9237821106798947e-05,5.73866673221346e-05,-8.087434252956882e-06,-1.6656740626785904e-06,-1.7657748685451224e-05,-1.055581378750503e-06,-3.407615531614283e-05,2.211073660873808e-05,-1.3854846830696488e-05
1.4197310235886107e-05,-8.971273564384319e-05,8.314307160617318e-05,-2.1221919951130985e-05,3.5095545626973035e-05,-6.6768275246431585e-06,3.1382687666337006e-06,-1.3939611335445079e-05,1.4668536095996387e-05,-3.494711836538045e-05,2.8792112061637454e-05,-1.2536634130810853e-05
1.5383099025712e-05,-0.00011223011642869096,9.97550127976865e-05,-5.7809112604445545e-05,1.457078678868129e-05,9.019849812830216e-06,1.8573793852283416e-05,-5.540708571061259e-06,2.592686689695256e-05,-3.2609902518743183e-05,3.994119435901666e-05,-1.4980762170324624e-05
4.408174390846398e-06,-6.006910371070262e-05,6.610077616642229e-05,1.119725232001656e-05,5.468757626658771e-05,-1.1514551715663401e-05,-2.506963632242787e-06,-1.995550019273651e-05,-3.0060409699217416e-06,-3.5092826692562085e-05,1.0605848814293495e-05,-1.4854641676720348e-05
-2.243702965643024e-05,-1.618871687014689e-05,3.7819235330971424e-05,1.3626682630274445e-05,3.595979433157481e-05,-5.186251655686647e-06,-1.61620619110181e-05,4.630435796570964e-06,-1.5207375327008776e-05,-2.0450534066185355e-07,-1.740607331157662e-06,-1.4909600693613356e-05
9.224569566868013e-06,-8.73634544404922e-05,9.393524305778556e-05,-2.5290020403190283e-05,3.299500713183079e-05,-8.964254675447592e-06,3.3054461709980387e-06,-1.6925561794778332e-05,1.2031732694595121e-05,-2.8380802177707665e-05,2.984837988151412e-05,-1.4416281828744104e-05
1.9557426014671364e-05,-0.00018202282808488235,0.00018693754827836528,-3.134062535536941e-05,9.538886661175638e-05,-2.05942960747052e-05,2.3749307729303837e-06,-2.8652185420696696e-05,6.5247716065641725e-06,-6.442317317123525e-05,4.288946911401581e-05,-2.663990107976133e-05
-5.281121957523283e-06,-2.492038402124308e-05,3.9956353248271625e-05,9.121510117893195e-06,3.0189029985194793e-05,-1.2266996236576233e-05,-2.5368062210873177e-06,-2.1127741092641372e-05,7.172572509261954e-06,-2.078017359963269e-05,1.741948835842777e-05,-1.6945728475548094e-05
1.3714393389818724e-06,-6.80717930663377e-05,8.624113837640834e-05,-2.6993196115654428e-05,2.7388358716962102e-05,-1.2269154694877216e-05,-5.718191118830873e-06,-4.1758152633519785e-06,-3.5487300920067355e-07,-1.1746092241082806e-05,1.7642005786910886e-05,-3.313824890938122e-06
1.1595794376262347e-05,-0.00011316452309984015,0.0001035489576679538,-8.471555520372931e-05,-1.3488797094396432e-05,1.7326205806966755e-05,2.7836027953753728e-05,1.210753134728293e-05,3.305527889096993e-05,-2.2679987068841e-05,5.1569941206253134e-05,-2.299087418577983e-05
9.184977216136758e-06,-0.0001791460090316832,0.0001811937581805978,-0.00010738834680523723,1.10321348074649e-05,1.1903933682333445e-05,2.7402047010127717e-05,-3.8188045436982065e-07,4.560854722512886e-05,-4.338887629273813e-05,7.50346812310454e-05,-3.1054978080646833e-05
6.965324246266391e-06,-0.00014666789502371103,0.00016577513997617643,9.455345207243226e-06,0.00011404567885620054,-1.6876419067557435e-05,-4.958523277309723e-06,-4.460518607629638e-05,3.0750015866942704e-07,-8.285903277283069e-05,3.4887476431322284e-05,-3.546940710208446e-05
4.487543264986016e-06,-0.0001228698019986041,0.0001296242407988757,-9.149527068075258e-05,-2.0763473003171384e-06,1.7587808997632237e-05,2.5496663511148654e-05,4.905285095446743e-06,3.120325868621876e-05,-2.6815509045263752e-05,5.189470903133042e-05,-2.194257831433788e-05
-7.672029823879711e-06,-2.3516804503742605e-05,5.966638127574697e-05,-4.917405021842569e-06,2.318055749128689e-05,-2.3335358491749503e-05,-1.06977940959041e-05,-2.6406144570501056e-05,1.6534586393390782e-05,-2.463426835674909e-05,4.854475241700129e-05,-2.674647833345034e-05
7.6071938792665605e-06,-8.826688826957252e-05,9.125091332862212e-05,-1.2365521115498268e-05,4.1076805246120784e-05,1.0218400348094292e-06,-1.037433321471326e-06,-6.9286461439332925e-06,-2.4072614053238794e-06,-3.398172520974185e-05,1.7085454828702495e-05,-1.3054728242423153e-05
2.331066752958577e-06,-9.801176929613575e-05,0.00011094174806203227,-4.6876082706148736e-05,2.8994142439842108e-05,-7.706965334364213e-06,7.431841595462174e-06,-1.8987703242601128e-05,2.7476796276459936e-05,-3.957754313432815e-05,6.594204387511127e-05,-3.195757562934887e-05
1.432143335478031e-06,-0.0001440893938706722,0.00014106401454228035,-1.9684517610585317e-05,6.809203659940977e-05,-3.936062739740009e-06,6.539124001392338e-06,-2.4455062884953804e-05,2.455666844980442e-05,-7.129777077352628e-05,5.1885554057662375e-05,-3.0106739131952054e-05
-4.857131443714024e-07,-5.1347391490708105e-05,6.44115061732009e-05,-4.944559032082907e-05,-4.524518772086594e-06,8.769229225435993e-06,1.4959443092266156e-05,-4.0408517634205054e-06,1.8173457647208124e-05,-1.4316849046736024e-05,2.8919703254359774e-05,-1.1072426843838912e-05
9.183079100694158e-06,-6.270531503105303e-05,8.050293581618462e-05,1.2623869793060294e-05,6.491139311037841e-05,-2.2096401153248735e-05,-1.5887824673654904e-05,-2.1081559680169448e-05,-1.010137015100554e-05,-3.4219199733342975e-05,7.069074797527719e-06,-8.198685122806637e-06
1.24612997751683e-05,-4.842003454541555e-05,4.5672509259020444e-05,4.8140300350496545e-06,3.5129714206050267e-05,-9.454564406041754e-06,-3.170971012877999e-06,-1.7436511825508205e-05,3.519221536407713e-06,-2.8287712041219493e-05,1.1247787369939033e-05,-6.07476249570027e-06
3.950935592911264e-06,-0.00010882165406655986,0.00014040204769116826,-2.0587194740073755e-06,8.260666027126717e-05,-2.637592206156114e-05,-9.111270657058412e-06,-3.7472638723556884e-05,5.740337655879557e-06,-5.6466977184754796e-05,3.843390913971234e-05,-3.0826716056253645e-05
-2.013913729115302e-06,-8.899298518372234e-05,0.00011876494954776717,3.2041007216321304e-06,7.255897685354284e-05,-1.6894537111511454e-05,-5.9816889006469864e-06,-3.054392527701566e-05,2.1540668058150914e-06,-5.035970650624222e-05,2.634158272485365e-05,-2.8236914886292652e-05
1.360430906061083e-05,-7.495314821426291e-05,6.67084186716238e-05,-4.35564955481027e-05,2.4636574380565435e-06,8.731881280255038e-06,1.9005503190783202e-05,-6.203165412443923e-06,1.220714125338418e-05,-2.242642494820757e-05,3.0631452091256506e-05,-6.213128969534409e-06
7.331381084441091e-06,-6.753410889359657e-05,4.096734664926771e-05,-7.553162868134677e-05,-4.713344787887763e-05,1.7592763470020145e-05,2.528556160541484e-05,1.725916354189394e-05,3.647557787189726e-05,-7.957148682180559e-07,4.680236634158064e-05,-7.192638804554008e-07
3.976089942625549e-06,-4.6188823972670434e-05,5.411607708083466e-05,-1.96122152829048e-05,1.1437952025517006e-05,1.1976076166320127e-06,4.1056728150579147e-07,-6.042444397280633e-06,9.312305792263942e-06,-1.9807122498605167e-05,2.0285404957576247e-05,-9.08539914235007e-06
