Fp1,F7,T7,P7,O1,F3,C3,P3,Fp2,F8,T8,P8,O2,F4,P4,Cpz
-0.00013289379603520501,-7.13941208232427e-05,-3.2498001019121148e-06,2.9589998348455993e-05,4.4157967295177514e-05,-2.969114666484529e-05,-1.7343436411465518e-06,2.3011148954310556e-05,-0.00010011072572524427,2.1247673430480063e-05,4.178916788077913e-05,4.680703250414808e-05,4.6036973799346015e-05,1.0016044825533754e-05,3.428353647905169e-05,4.213438842270989e-05
-5.992299702484161e-05,-5.958299516350962e-05,-1.0645766906236531e-05,1.1816165169875603e-05,1.0963456588797271e-05,-3.5038983696722426e-06,8.297989722905186e-06,1.2430232345650438e-05,-3.394943996681832e-05,2.1318619701560237e-05,1.8701653061725665e-05,1.924153730215039e-05,1.6373573998862412e-05,1.60615932145447e-05,1.7262186247535283e-05,1.5138090020627715e-05
-3.0794133635936305e-05,-9.244557440979406e-05,-2.4091253862934536e-05,7.672480023757089e-06,1.873531255114358e-05,-2.007130842685001e-05,-1.3297180430527078e-05,2.7432201932242606e-06,-1.749565672071185e-05,5.2393199439393356e-05,2.6841298677027225e-05,1.9218068928239518e-05,2.0178278646199033e-05,2.0625157503673108e-05,1.0773920848805574e-05,1.901416999317007e-05
0.0001036119501804933,-3.212491519377636e-05,-5.125037569086999e-05,-3.5007978112844285e-05,-1.993126272736845e-05,4.455038833839353e-06,-1.566174546496768e-05,-1.762434521879186e-05,8.578757115174085e-05,2.7613680913418648e-05,-8.499044724885607e-06,-1.812153050195775e-05,-1.2034841773811422e-05,8.135730922731454e-06,-5.785499524790794e-06,-1.3562431604441372e-05
4.126041858398821e-06,-3.534903771651443e-05,-1.4841194683867798e-05,-1.1771755453082733e-05,-8.230534149333835e-06,-3.487487447273452e-06,-5.077874220660306e-06,-5.221680112299509e-06,2.098829463648144e-05,3.451204884186154e-05,1.4461823639067006e-05,5.013926056562923e-06,-3.57420231011929e-06,1.4229738098947564e-05,2.2470776457339525e-06,-8.025184342841385e-06
-9.918086334437248e-06,-7.133118924684823e-05,-3.900996671291068e-05,-9.76569617705536e-06,6.7004910988544e-06,-1.092590537155047e-05,-1.9028786482522264e-05,-4.097563362392975e-06,2.0086278709641192e-05,4.309921132517047e-05,2.0869622858299408e-05,1.5421866464748746e-05,1.5603387964802096e-05,2.002936071221484e-05,1.0290706995874643e-05,1.1976267387581174e-05
-1.5949204680509865e-05,-6.830750635344884e-05,-3.544076389516704e-05,-9.81474295258522e-06,2.148417479475029e-06,3.1786066756467335e-06,-6.467864750447916e-07,-2.5571216610842384e-07,2.021597720158752e-05,3.900442754911637e-05,9.092184882319998e-06,4.828003511647694e-06,6.672496965620667e-06,2.7812782263936242e-05,1.0993921932822559e-05,6.467897037509829e-06
-1.104979219235247e-06,-7.350405303441221e-05,-3.8509135720232734e-05,-1.0245295925415121e-05,-4.810971176993917e-06,-6.825204309279798e-06,-1.4527113762596855e-05,-5.7687400385475485e-06,2.5573961465852335e-05,5.982406764815096e-05,2.735532189035439e-05,1.2094996009182069e-05,-2.0388832808748703e-06,2.9874941901653074e-05,6.59918964629469e-06,-3.9881048223833204e-06
3.841890247713309e-06,-2.9710909075220115e-05,-1.778425939846784e-05,-7.7780716765119e-06,-7.434118742821738e-08,-5.704227646674553e-06,-1.112566860683728e-05,-9.799782617392339e-06,1.436307775293244e-05,2.936883447546279e-05,1.233130444688868e-05,8.93394167178485e-06,3.0465193958661985e-06,7.289386303455103e-06,1.6477019926242065e-06,1.1546026144060306e-06
-1.8830684894055594e-05,-8.59413921716623e-05,-2.4007577849260997e-05,6.783157573408971e-07,6.021000636735607e-06,-1.3500466593541205e-05,-6.89944795340125e-06,6.580900617336738e-06,1.2219684322190005e-05,5.282768870529253e-05,1.5951082332321675e-05,9.038098596647615e-06,8.168762178684119e-06,2.049386284852517e-05,1.0773774192784913e-05,6.426401498060841e-06
