Fp1,F7,T7,P7,O1,C3,Fp2,F8,T8,P8,O2,C4,P4,Cpz
-3.3847214581328444e-05,-6.869254639241262e-05,-3.2645525607222226e-05,-2.003415738727199e-05,4.1071034502238035e-06,-2.003223471547244e-05,-7.749279575364199e-06,7.942813408590155e-05,3.0516739570884965e-05,2.1419979020720348e-05,1.3743873751081992e-05,2.0539262777674594e-05,1.0133851674254402e-05,3.1120168273446325e-06
-2.3478507955587702e-05,-3.268313446369575e-05,-1.011676613416057e-05,5.531724127649795e-06,1.753211722643755e-05,-4.922966354570235e-06,2.138250010830234e-06,1.6811464831789635e-05,3.0254836929088924e-06,1.08740568975918e-05,1.587462332963696e-05,-1.4675870261271484e-06,-3.481591193121858e-07,1.2294005955482135e-06
-1.9993707610410638e-05,-2.743886352618574e-05,-1.8778692037813016e-05,2.864298949134536e-06,1.0244802751913085e-05,-7.728310038146446e-06,-1.4462548278970644e-05,2.521455087389768e-06,1.247934142156737e-05,2.0014001165691298e-05,1.6489988411194645e-05,5.447213538900542e-06,1.2798261195712257e-05,5.542757435250678e-06
-1.3525557278626366e-06,-2.2848795197205618e-05,-1.4110469692241168e-05,-6.67175481794402e-06,-7.601837296533631e-06,3.5534906146494905e-06,8.90653973328881e-06,2.779129772534361e-05,8.685930879437365e-06,6.655514880549163e-06,-3.5456387195154093e-06,-2.1844334696652368e-07,-1.1854308468173258e-07,8.752640496823005e-07
-4.281977453501895e-06,-1.474830787628889e-05,2.378326371399453e-07,-1.417962425875885e-05,-3.908543817487953e-06,-3.1113192562770564e-05,4.117668595426949e-06,2.0628021957236342e-05,9.599518136838014e-06,7.095121873135213e-06,4.3950331019004807e-07,1.3798236523143714e-05,6.9877834221188095e-06,5.327961176249119e-06
-4.8885895012062974e-06,-3.306713551864959e-05,-3.0874518415657803e-05,-1.4849247691017808e-05,-7.19794883252689e-07,-1.2533704648376442e-05,2.3245015654538292e-06,1.6905345546547323e-05,1.8016868125414476e-05,1.3454501186060952e-05,5.3686749197368044e-06,1.9076909666182473e-05,1.4631408021159586e-05,7.154781769713736e-06
3.7892496038693935e-06,-2.8273831958358642e-05,-2.254846549476497e-05,-2.1110431816850905e-05,-1.0201873010373674e-05,-1.7131147615145892e-05,1.7642206330492627e-05,3.824873601843137e-05,2.260361816297518e-05,-7.509728675358929e-06,-5.135476385476068e-06,2.268674234073842e-05,2.1868327166885138e-06,4.7535748777249864e-06
-1.1827971320599318e-05,-2.1559183096542256e-05,-9.029346159650231e-06,-2.2522376639244612e-06,1.2197122032375773e-06,-1.5090758097358048e-05,-8.13389192444447e-07,2.079895966744516e-05,2.452445869494113e-05,1.0279185630679422e-05,3.907205154973781e-06,5.761503416579217e-06,2.9922965154582926e-06,-8.91043373485445e-06
1.494834805271239e-06,-1.41514483402716e-05,-1.0733842827903572e-05,-4.2095316530321725e-06,2.2832932700111996e-07,-7.816015795469866e-06,4.600945885613328e-06,2.3651844003325095e-05,4.825835048904992e-06,3.135718358748818e-06,2.4805381144688e-06,-2.9605780582642183e-07,2.3210278641272453e-06,-5.5321785339401686e-06
6.643583446930279e-06,-4.775314300786704e-05,-2.4232009309343994e-05,-7.163875409332832e-06,-1.8570693782749004e-06,-8.628602699900512e-06,1.5324855347387256e-05,3.600614036258776e-05,1.0535103456277284e-05,7.1377309041054104e-06,4.2795943500095746e-06,8.226283171097748e-06,3.3274114912273944e-06,-1.846003215177916e-06
1.0892563295783475e-06,-1.2838180282415124e-05,-5.208939910517074e-06,1.4750912669114769e-06,-2.0596535250660963e-06,-1.163807678494777e-05,9.74207796389237e-06,1.7110269254771993e-05,8.048077006606036e-06,3.2338834898837376e-06,-6.558439054060727e-07,3.354998625582084e-07,-1.2443797459127381e-07,-8.509025519742863e-06
1.4566988738806685e-05,-3.599741648940835e-05,-1.661565579524904e-05,-4.766341049844414e-06,-2.7379611537980963e-06,-7.52348648802581e-06,2.0848983581345237e-05,2.3056046870806313e-05,3.7310641118892818e-06,4.7994262786232866e-08,-1.2011998364869214e-06,4.484169835450302e-06,2.699876461065287e-06,-5.930630777584156e-07
2.320302064617863e-05,-6.266899345064303e-05,-3.1992067761166254e-05,-1.0929420568572823e-05,-4.212181465845788e-06,-1.6870172203198308e-05,3.299778240517526e-05,5.514341864909511e-05,1.803804116207175e-05,4.016563877939916e-06,-7.276048478388475e-06,7.265850399562623e-06,1.8129680938727688e-06,-8.528761100023985e-06
9.359677278553136e-06,-6.647760847044992e-05,-2.7941117423324613e-05,-1.2406029782141559e-05,-5.302206204760296e-06,-9.646048511058325e-06,2.2915784938959405e-05,4.181382405477052e-05,1.56495584633376e-05,7.282873905722909e-06,1.6514068192918785e-06,1.1783175636992382e-05,6.682049388473388e-06,4.634659035218647e-06
4.166892381363141e-05,-5.2909857004124206e-05,-3.453281988186063e-05,-1.87272310085973e-05,-1.2707076848528231e-05,-2.1305159179973998e-05,4.889224385351554e-05,5.3745912737213075e-05,1.2769565273629269e-05,-1.4494701190415071e-06,-6.073255008232081e-06,6.3044089984032325e-06,-3.594319593958062e-06,-1.208187177326181e-05
1.8383569113211706e-05,-2.699321339605376e-05,-2.1658939658664167e-05,-1.6352329112123698e-05,-1.0953686796710826e-05,-1.5813366189831868e-06,2.4207864044001326e-05,2.8037000447511673e-05,6.509308150270954e-06,-8.375352763323463e-06,-8.030798198888078e-06,1.2872437309852103e-05,-1.2232746797735672e-06,5.158753538125893e-06
-3.002751327585429e-07,-1.9529907149262726e-05,-1.670540586928837e-05,-1.4587722034775652e-05,-8.755976523389108e-06,-8.076292942860164e-06,1.2837066606152803e-05,3.096876753261313e-05,1.1942496712435968e-05,-5.248557499726303e-08,-2.1743730940215755e-06,9.947842045221478e-06,4.781697157341114e-06,-2.9542616175604053e-07
-1.870466712716734e-05,-9.613632937544025e-05,-3.537334350767196e-05,-1.1800790161942132e-05,3.7919175497336255e-06,-1.732560622258461e-05,1.2874065760115627e-05,9.180330744129606e-05,3.226311582693597e-05,6.7421485709928675e-06,5.898377821722534e-07,2.1512352304853266e-05,8.583686394558754e-06,1.180307208414888e-06
