Fp1,F7,T7,P7,O1,F3,C3,P3,Fp2,F8,T8,P8,O2,F4,C4,P4,Cpz
7.883972102717962e-06,-5.9378406149335206e-05,-2.002509927478968e-05,-1.456693462387193e-05,-2.1178127099119592e-05,-1.448406101189903e-05,-1.3496463452611351e-05,-1.197787833007169e-05,7.272202310559805e-05,8.09168559499085e-05,1.8056453882309143e-05,-1.1594109764700988e-05,-1.9133149180561304e-05,2.3404649709846126e-05,2.8548088266688865e-06,-8.262000164904748e-06,-1.1742533388314769e-05
-1.3323627641170788e-05,-4.776623154612025e-05,-1.989213308206672e-05,-9.862946129146621e-06,-4.342487500252901e-06,-1.1460697123766295e-05,-8.200433057936607e-06,-3.3166768389492063e-06,3.257920479882159e-05,4.489657021622406e-05,1.065432002178568e-05,1.3707164043808007e-06,-5.7910710893338546e-08,1.5200987263597199e-05,6.832453436800279e-06,4.4806266714658705e-06,2.208263254033227e-06
1.0882660035349545e-05,-1.7282061890000477e-05,-9.548433354211738e-06,-8.293980044982163e-06,-1.0618127362249652e-05,4.84087939867095e-06,-1.722235879242362e-06,-6.60071600577794e-06,3.238378894820926e-05,2.2148064090288244e-05,5.774099690825096e-06,-8.270921483699567e-06,-1.2050611076119822e-05,9.448574019188527e-06,1.6601420611550566e-06,-6.451252886563452e-06,-6.299865503933688e-06
6.3516702084598364e-06,-3.360554183018394e-05,-1.3029476576775778e-05,-4.130234628973994e-06,3.938886038667988e-06,-1.931480710481992e-06,-2.3158731892181095e-06,2.6274101401213557e-06,1.761121347954031e-05,1.2505510312621482e-05,2.5240867671527667e-06,-1.9393282855162397e-06,-1.4949268916097935e-06,6.1191190070530865e-06,2.9723137231485453e-06,1.8611249856803624e-06,1.9355270524101797e-06
-5.835450792801566e-06,-9.617906289349776e-05,-3.650019107226399e-05,-2.143254528164107e-05,-1.6973481706372695e-05,-2.629264275810783e-05,-2.5520545250401483e-05,-1.661158717070066e-05,9.641506403568201e-05,0.00011894079034391325,2.01948823814746e-05,-4.949741196469404e-06,-1.0596017546049552e-05,3.139566797472071e-05,7.728305718046613e-06,-4.141275439906167e-06,-9.64216815191321e-06
1.2739166777464561e-05,-4.418923708726652e-05,-2.263290934934048e-05,-1.7013868728099624e-05,-1.3576844139606692e-05,-7.362743417616002e-06,-8.759444426686969e-06,-8.541459465050139e-06,5.4860265663592145e-05,4.7218498366419226e-05,7.055267815303523e-06,-4.928514954372076e-06,-9.931932709150715e-06,1.6364078874175902e-05,4.6641553126391955e-06,-2.7469418455439154e-06,-3.2175266824197024e-06
-3.7956480809953064e-05,-6.059892621124163e-05,-1.5890431313891895e-05,-3.2191856007557362e-06,3.2051466405391693e-06,-1.1994563465123065e-05,-5.655051609210204e-06,-9.33980118134059e-07,2.1190629922784865e-05,5.705990406568162e-05,1.410970617143903e-05,7.4074660005862825e-06,4.04914408136392e-06,1.6163485270226374e-05,6.258521352719981e-06,3.952792212658096e-06,2.8518243198050186e-06
-3.840802719423664e-05,-5.771343251126382e-05,-1.3403601997197256e-05,-2.345578195672715e-06,5.423169682217122e-06,-1.5889205428720743e-05,-9.051382221514359e-06,1.1346442079229746e-06,1.015734869724838e-05,5.4934705076448154e-05,1.57459495184753e-05,1.0087302712236124e-05,1.1859646519951639e-05,9.62485205491248e-06,6.642064931838831e-06,5.8296848237660015e-06,5.371857696445659e-06
-1.647623275857768e-05,-5.0013665941150975e-05,-1.540221546747489e-05,-6.418221801141044e-06,-3.2173747968045063e-06,-1.5647108284611022e-05,-1.4612463246521656e-05,-7.693327233937453e-06,3.936548455385491e-05,6.0643088772849296e-05,1.7413042769476306e-05,7.961621406593622e-07,-2.0711106571980054e-06,1.4844283441561856e-05,4.000171188067725e-06,-1.438247863916331e-06,-4.072265028298716e-06
-8.138658586176462e-06,-3.831883441307582e-05,-1.6127658909681486e-05,-7.98228074927465e-06,-3.3747419365681708e-06,-1.4312745406641625e-05,-1.0271632731928548e-05,-4.816073442270863e-06,3.626323086791672e-05,4.548137076199055e-05,1.0901485211434192e-05,2.642937033670023e-06,1.8008172446570825e-06,7.618532777087239e-06,7.234220902319066e-07,3.5198877412767615e-07,-2.4411599071072487e-06
8.537899702787399e-07,-3.7201698432909325e-05,-2.2133422589831753e-05,-1.3095356280246051e-05,-7.790146810293663e-06,-6.969427886360791e-06,-6.344737812469248e-06,-2.960853564104582e-06,3.816452112914703e-05,3.587597166188061e-05,9.255712939193472e-06,-1.8457303667673841e-06,-7.260844995471416e-06,1.491413149778964e-05,6.20903506387549e-06,4.994012670067605e-07,-1.703454017842887e-07
-3.126015144516714e-05,-3.3331829399685375e-05,-4.560480647342047e-06,-2.45390253894584e-06,6.282393805179254e-07,-1.1183449714735616e-05,-2.904455868701916e-06,2.192268993894686e-06,3.425520844757557e-06,3.1279757024549326e-05,1.4323388541015447e-05,6.7170130932936445e-06,4.54330506727274e-06,9.18100477065309e-06,5.189707167119195e-06,5.47086625601878e-06,2.743195182119962e-06
-2.1927350189798744e-05,-3.262838981754612e-05,-1.5086246548889903e-05,-7.094352440617513e-06,-3.7384334063972346e-06,-1.90473747352371e-06,2.4910823412938043e-06,2.764875262073474e-08,7.838312740204856e-06,2.8828742642872385e-05,1.2314448099459696e-05,2.2866470317239873e-06,-6.468953870353289e-07,1.1748736483241373e-05,7.932041071967433e-06,5.058182182438031e-06,4.50056393219711e-06
-3.8218086046981625e-05,-5.183013854548335e-05,-1.3827234397467691e-05,-2.045861378974223e-06,3.4433805069511436e-06,-9.798808150662808e-06,-4.360456387075828e-06,4.8493533881810436e-06,3.5319309290571255e-06,3.869061856676126e-05,1.4879096852382645e-05,1.1146035149067757e-05,8.52008906804258e-06,1.0865508556889836e-05,9.656214842834743e-06,9.463318519919994e-06,5.035038157075178e-06
-1.1033438568119891e-05,-1.8178281152358977e-05,-1.1609278999458184e-05,-4.942276063957252e-06,-1.5810760487511288e-06,-6.460477607106441e-06,-5.128178941049555e-06,-1.5854966477490962e-06,-9.247214620700106e-07,2.174612382077612e-05,9.07555977391894e-06,3.202845618943684e-06,1.3595458767667878e-06,1.095722336685867e-05,6.822672958151088e-06,5.277081982058007e-06,3.0021744805708295e-06
-1.6911108104977757e-05,-8.954411441663979e-06,1.216740997733723e-06,1.817998054320924e-07,1.957234417204745e-06,-5.340650204743724e-06,-1.1757936135836644e-06,-3.927143097826047e-06,-6.721507816109806e-06,1.974728365894407e-05,7.44156841392396e-06,3.8088846849859692e-06,3.697356987686362e-06,2.7213931161895744e-06,1.888868951027689e-06,1.4287297744886018e-06,-1.0592484613880515e-06
-2.414446498733014e-05,-2.012136610574089e-05,-9.885025065159425e-07,2.519965619285358e-06,6.867181582492776e-06,-4.309314590500435e-06,-3.0213345780794043e-07,4.988222826796118e-06,-7.781122803862672e-06,1.2930633602081798e-05,6.971169796088361e-06,4.350069502834231e-06,3.3245596569031477e-06,5.05147397689143e-06,4.321017875952293e-06,2.3530265025328845e-06,3.969584099650092e-06
-7.49470373193617e-05,-5.6558719734312035e-05,-4.859840601056931e-06,4.782380528922658e-06,1.4900287851560279e-05,-1.8315808119950816e-05,-7.13333292878815e-07,1.0882755418606394e-05,-1.9488770703901537e-05,3.934753931389423e-05,1.846324153120804e-05,1.4884896302191919e-05,1.601662259531622e-05,1.4210833569450187e-05,1.2386896287353011e-05,1.5561818599962862e-05,1.3446242974168854e-05
