C3,C4,F3,F4,F7,F8,Fp1,Fp2,FT10,FT9,O1,O2,P3,P4,P7,P8,Pz,T7,T8,Cpz
-3.4545682865427807e-06,7.792511951265624e-07,-1.7492128108642646e-05,-2.5453234684391646e-06,-2.2817228455096483e-05,1.87660007213708e-05,-1.3097742794343503e-05,2.565373108609492e-06,1.6729498838685686e-05,-1.4267132428358309e-05,2.509003479644889e-06,3.1134441087488085e-06,6.368956746882759e-06,6.438461241486948e-06,4.035340481323146e-06,2.818630832734925e-06,7.4249528552172706e-06,-1.2098988008801825e-05,9.739424513099948e-06,4.484769760892959e-06
-3.328071261421428e-05,1.713481469778344e-05,-2.9245471978356363e-05,1.963974591490114e-05,-2.8741596906911582e-05,4.605092544807121e-05,-1.2940390661242418e-05,1.5133767419683863e-05,5.2565948863048106e-05,-2.134550959453918e-05,-1.1058488325943472e-05,-3.732204731932143e-07,-2.2328385512082605e-05,2.902592882492172e-06,-2.5134265570159187e-05,2.039811340637243e-05,-1.3114608918840531e-05,-3.1378455787489656e-05,6.602754001505673e-05,-1.0912337302215747e-05
2.5338458726764657e-06,1.2888512173958588e-05,-1.0448005014040973e-05,8.061461812758353e-06,-1.8659680790733546e-05,1.8299674138688715e-05,-1.3983728877065005e-05,4.1612511267885566e-06,2.3005968614597805e-05,-1.9827272808470298e-05,-1.2045293260598555e-06,-4.452948815014679e-06,2.792081659208634e-06,2.856668743334012e-06,-6.9468665060412604e-06,-5.964247066003736e-06,3.492854375508614e-06,-1.9572002202039585e-05,1.5552909189864295e-05,7.4140568813163554e-06
-1.0892938007600605e-05,-1.8364004290560842e-06,-1.2692166819761042e-06,2.5306063548669044e-05,-2.4601768473075936e-05,4.5649292133020936e-05,1.7142187971330713e-05,4.4918494495505e-05,1.0841429684660397e-05,-2.960496794912615e-05,-5.151066488906508e-06,-6.439422122639371e-06,-1.2722592373393127e-05,-9.492053322901484e-06,-9.205885817209492e-06,-5.989816713736218e-06,-8.48458012114861e-06,-2.0795269847440068e-05,7.123719115043059e-06,-4.495212124311365e-06
-4.5367558414000086e-05,3.687678236019565e-05,-3.4261936434631934e-05,2.182767366321059e-05,-3.352114708832232e-05,4.3126807213411666e-05,-1.196777395762183e-05,1.0234511137241498e-05,5.094877633382566e-05,-2.1906348138145404e-05,-7.594679118483327e-06,8.80902007338591e-06,-3.717544132086914e-05,1.9971221320247423e-05,-3.775483310164418e-05,3.141153501928784e-05,-1.1033440387109295e-05,-4.9744548960006796e-05,6.600930100830738e-05,1.1120755516458303e-06
-1.7139743249572348e-05,1.4268813060880348e-05,-7.780448868288659e-06,3.3995129342656583e-06,-1.587129372637719e-05,1.837849777075462e-05,-6.777997214157949e-06,4.6490313252434134e-06,2.7067080736742355e-05,-1.8255175746162422e-05,-8.69585528562311e-06,2.860927793335577e-06,-1.3730354112340137e-05,8.149755785780144e-06,-1.8703832211031113e-05,1.8914040992967784e-05,-3.166764145134948e-06,-2.610084629850462e-05,3.55528318323195e-05,2.981819307024125e-06
-2.550137514845119e-05,1.1057196388719603e-05,-6.961664894333808e-06,3.424650003580609e-05,-1.7566765563969966e-05,6.52915878163185e-05,8.873960723576602e-06,3.6497662904366734e-05,6.077023863326758e-05,-2.4890833628887776e-05,-2.504346502973931e-05,-1.574388306835317e-05,-3.362025472597452e-05,-8.265104497695575e-06,-4.047790389449801e-05,-2.514430889277719e-06,-1.9342292603141686e-05,-4.1161471244777204e-05,5.611207780020777e-05,-1.1759779226849787e-05
-2.543183973102714e-05,1.606417845323449e-05,-1.5729223719063157e-05,1.7639146335568512e-05,-1.2073216112185037e-05,4.633123444364173e-05,9.65336681701956e-06,3.072824711125577e-05,3.813488092418993e-05,-1.989633301491267e-05,-1.9817082829831634e-05,-1.496230652264785e-05,-2.6341272132412996e-05,-2.6079013650814886e-06,-2.2251535938266898e-05,9.20338351306782e-06,-2.166578951801057e-05,-2.0209055037412327e-05,4.935502329317387e-05,-1.612390542504727e-05
-8.35642754282162e-06,-3.158962044835789e-06,-1.2216253935548593e-05,4.757207307193312e-06,-1.4820847013652383e-05,2.6931521460937802e-05,-8.541550414520316e-06,9.867360375892531e-06,1.8034996173810214e-05,-8.355382931313216e-06,-7.628887033206411e-08,-8.466654435324017e-07,-1.5884050981185283e-06,7.152625585149508e-07,-2.772082638102802e-06,1.8166584254686313e-06,-9.840890697887517e-07,-5.944379381617182e-06,8.812592568574473e-06,-3.274264145147754e-06
-2.5472535867265833e-05,3.121118561466574e-05,-2.03762452031242e-05,3.666316479211673e-05,-2.420618784526596e-05,5.6313336244784296e-05,-5.217665602685884e-06,2.3461985620087944e-05,5.207255526329391e-05,-3.301813376310747e-05,-3.4149150451412424e-05,-1.7923375253303675e-05,-2.6653873192117317e-05,7.053230348219586e-06,-3.516907509037992e-05,1.1010600246663671e-05,-1.4388141153176548e-05,-3.6791300772165414e-05,5.4963568572929944e-05,6.160554448797484e-07
