Fp1,F7,T7,P7,O1,F3,C3,P3,FT9,Fp2,F8,T8,P8,O2,F4,C4,P4,FT10,TP9,TP10,Cpz
2.6080051611643285e-05,0.00010942374137812294,0.00015414741210406646,0.00017510614452476148,0.0001815119103412144,0.00012891400365333539,0.00016392116958741099,0.00017119403310061898,0.00014646383351646364,-0.0033527734340168536,0.00019970944026681536,0.0002162401778491585,0.00019900632878488977,0.00018214312058262294,0.0001570990762047586,0.0001836565679695923,0.00018581150015961612,0.00020657640152421664,0.00018012846885540057,0.0002050264806712221,0.00018061354876408586
-4.7119245209614746e-05,-6.638921126977948e-05,-3.2051815651357174e-05,-1.6818892618175596e-05,-6.208669219631702e-06,-3.8170546758919954e-05,-2.3789238184690475e-05,-1.570737367728725e-05,-5.102497016196139e-05,0.0002887248992919922,3.648241545306519e-05,-6.214693712536246e-06,-4.220928531140089e-06,3.060231392737478e-06,-6.913018296472728e-06,-9.358591341879219e-06,-5.549110937863588e-06,1.4966433809604496e-05,-1.1802942026406527e-05,1.2514647096395493e-08,-1.9072831491939723e-06
-1.3808650692226365e-05,-1.7833178162618424e-05,-2.101003474308527e-05,-1.3139108546056377e-05,-6.0606816987274215e-06,-1.247201635123929e-05,-1.2853386579081416e-05,-9.665164043326513e-06,-1.7667464817350265e-05,-8.187504136003554e-06,3.060099516005721e-05,5.448412412079051e-05,1.5291832369257463e-05,6.466016202466562e-07,1.7129696061601862e-06,2.4610690161352977e-06,2.2902313503436744e-06,2.7376911930332426e-05,-1.2630809578695334e-05,1.4827718359811115e-05,-4.364457709016278e-06
2.949727786472067e-07,-2.6351889573561493e-05,-9.391636012878735e-06,-6.584667971765157e-06,-6.667652087344322e-06,-1.065122432919452e-05,-4.350748895376455e-06,-7.163090060657851e-06,-1.2063879694323987e-05,2.754681554506533e-05,3.644372054623091e-05,-3.6990622902521864e-06,-1.4062820810067933e-06,3.3691926546453033e-06,1.0933498060694546e-05,2.0202239596756044e-06,-1.3470760222844547e-06,1.967562366189668e-05,-5.037205482949503e-06,-3.4288677852600813e-07,-5.2267453014565035e-06
-6.181651770020835e-05,-4.3040716263931245e-05,-7.437522071995772e-06,2.969896172544395e-06,4.147676008869894e-06,-1.7676570678304415e-05,8.001297828741372e-07,6.838316039647907e-06,-7.954145985422656e-06,-3.8317883081617765e-05,2.1604371340799844e-05,1.5798594176885672e-05,1.623181287868647e-05,9.52305117607466e-06,8.235706445702817e-06,1.9096115352112975e-05,1.7148591723525897e-05,2.8766828563675517e-05,1.3546450645662844e-06,1.2679309293162078e-05,1.1048301985283615e-05
-9.349641914013773e-07,-1.5007366073405137e-05,-2.4703142798898625e-05,-1.748507486354356e-05,-1.1260050996497739e-05,-1.0511669330526274e-05,-1.26288941828534e-05,-1.2993875316169579e-05,-2.36896535170672e-05,1.056740165950032e-05,2.6932373202726012e-05,4.8334676648664754e-05,1.2700046198688142e-05,-1.63752611115342e-06,1.1526030220920802e-05,9.358357818456398e-06,4.886622491540038e-06,2.0953114471922163e-05,-1.952543016159325e-05,1.1764176178985508e-05,-6.645150278927758e-06
3.22837513522245e-06,-2.1209888473094907e-05,-8.538583642803133e-06,-1.0533658496569842e-06,-7.763646863168105e-07,-5.230982537796081e-06,-4.203735443297774e-06,-1.991504177567549e-06,-2.3081798644852825e-05,2.1210809791227803e-05,2.1113320542553993e-05,3.4068780223606154e-06,1.9389285625948105e-06,-2.1603806317216367e-06,7.395629381790059e-06,-6.156969902804121e-07,3.916140030923998e-06,9.091522315429756e-06,-5.798199708806351e-06,1.9271847122581676e-06,1.4317138266051188e-06
-1.8370759789831936e-05,-3.969303725170903e-05,-1.0990570444846526e-06,-2.083951130771311e-06,-9.773393685463816e-07,-7.041547178232577e-06,3.2342686608899385e-06,6.430509529309347e-07,-3.094540670645074e-05,7.906623068265617e-06,2.600602556412923e-05,1.8532881540522794e-05,7.129974960662366e-06,-1.2033333405270241e-06,1.3011425608056015e-05,1.0736545846157242e-05,7.296874400708475e-06,9.583842256688513e-06,-8.10461824585218e-06,5.2559171308530495e-06,1.8161335901822895e-07
-1.4898986592015717e-05,-4.636988523998298e-05,-2.7516072805156e-05,-1.0705639397201594e-05,3.6842911868006922e-06,-1.1189553333679214e-05,-4.675543095800094e-06,-5.845673513249494e-06,-3.723040208569728e-05,1.828212134569185e-05,4.36209375038743e-05,1.4502978501695907e-05,8.505605364916846e-06,4.165947757428512e-06,1.8101028672390385e-05,1.0683920322662743e-05,8.573984359827591e-06,2.507211684132926e-05,-1.3480212373906397e-05,1.2087772574886912e-05,4.6312658810165885e-06
-2.16420794458827e-05,-8.083204011199996e-05,-2.675087034731405e-05,-6.366590241668746e-06,3.893083885486703e-06,-2.2184908630151767e-05,-9.024018936543143e-06,-3.231046321161557e-06,-6.454601862060372e-05,1.93580417544581e-05,5.575962313741911e-05,2.440280047721899e-05,1.756109395500971e-05,1.240894027887407e-05,2.1678605918395988e-05,1.676699093877687e-05,1.3457608019962208e-05,2.560330722189974e-05,-8.049364623730071e-06,2.0073440282430965e-05,1.166341007774463e-05
4.938377969665453e-05,-0.00011504226131364703,-6.516516805277206e-05,-3.8422927900683135e-05,-2.5685789296403527e-05,-3.0007046461832942e-05,-3.0048855478526093e-05,-3.6465230095927836e-05,-0.00010842415940715,0.00014140436542220414,0.00013767582277068868,3.967141492466908e-05,8.369004262931412e-06,-8.85396320882137e-06,5.431694989965763e-05,1.037392109992652e-05,2.0367123596543024e-06,5.7513820138410665e-05,-3.594349436752964e-05,1.3262465927255107e-05,-1.994935519178398e-05
