,freqs,gc_R1-R2->F7,gctr_R1-R2->F7,gc_F7->R1-R2,gctr_F7->R1-R2,gc_R1-R2->F8,gctr_R1-R2->F8,gc_F8->R1-R2,gctr_F8->R1-R2,gc_R1-R2->T7,gctr_R1-R2->T7,gc_T7->R1-R2,gctr_T7->R1-R2,gc_R1-R2->P7,gctr_R1-R2->P7,gc_P7->R1-R2,gctr_P7->R1-R2,gc_R1-R2->T8,gctr_R1-R2->T8,gc_T8->R1-R2,gctr_T8->R1-R2,gc_R1-R2->P8,gctr_R1-R2->P8,gc_P8->R1-R2,gctr_P8->R1-R2,gc_R1-R2->O1,gctr_R1-R2->O1,gc_O1->R1-R2,gctr_O1->R1-R2,gc_R1-R2->O2,gctr_R1-R2->O2,gc_O2->R1-R2,gctr_O2->R1-R2
30,38.0,0.005193515181460033,0.00495604547323716,0.003917202718559057,0.004005597921429371,0.005102462791950819,0.005273572879946475,0.004093986476627362,0.004053761043660176,0.005100960581005565,0.00489937448605123,0.004047333156172068,0.00393325577968926,0.005237717021984563,0.0049670692606065825,0.0040517922371192784,0.004048916917210884,0.004998031988724102,0.005207943939470277,0.004155592427697299,0.003997596412842675,0.0049778667643616955,0.005153892782286646,0.00414265152972168,0.0039629966867333315,0.0050750391082999575,0.004999843854927929,0.0040965513609786995,0.003972687425467888,0.005016809149011334,0.004982755170713036,0.004072486843220176,0.004004240272203794
31,39.0,0.0050751421184312565,0.004797510257708949,0.0037687506575311966,0.003878596623839398,0.004964442253841597,0.00514634177976868,0.003940487720705063,0.0039018845050187052,0.004988836177431098,0.004744728064141681,0.0038972087468054084,0.003808519516443923,0.005121026814914932,0.0048113784678209945,0.00390861644059107,0.003933492298553917,0.004893003929742316,0.005117440153944596,0.004020105214906312,0.0038676755971724336,0.004871333030295214,0.0050293877034527255,0.003999367267196483,0.003830178444846089,0.004977020713744746,0.004859341783861147,0.003962196026352622,0.0038450410673366606,0.004915282213240295,0.004847507985432682,0.003921759386545994,0.003868976502508541
32,40.0,0.004898433016672781,0.004636365626112116,0.0035995226675992185,0.0036885170636918973,0.004765127404277772,0.004940802385053925,0.00374427164977164,0.0036855867515607228,0.004801775451980521,0.004571943801374822,0.003724397051828791,0.0036260898670283826,0.004930818970679107,0.004611464882561649,0.0037481855688100453,0.0037564237739121796,0.0047171704382171446,0.004946325615230978,0.00382058198997202,0.003662499974334942,0.004712771085024007,0.004859493323358349,0.0038054755356860086,0.003643073898123451,0.004807465427473724,0.004661183652432549,0.0037974404564094827,0.0036615802982207183,0.004763921361050816,0.0046830021525092885,0.0037393843313644616,0.0036831720406970063
33,41.0,0.004745834427705643,0.0045152439846201705,0.003502536885424839,0.0035812111300981657,0.0046256561713257744,0.004819248680093588,0.003630904843181114,0.0035706492004823373,0.00466807108475913,0.004433653661568962,0.003614789314417953,0.003520854886940323,0.004760750572353982,0.0044642373421813816,0.0036537109644946787,0.0036446148986330187,0.004605521695597081,0.004834536620818289,0.003712460424854203,0.0035563108261034504,0.004609203124627078,0.004717847217827986,0.003683047333859926,0.003541233988123449,0.004662528117354888,0.00451914450216526,0.003695960626432672,0.003540101626185373,0.00464571331103145,0.004531270046982106,0.0036096664213907006,0.0035603858114664337
34,42.0,0.00459360132082271,0.004421626438564959,0.003414757375165897,0.003462722389443486,0.004470940339751249,0.004664049750537442,0.0035085290016986428,0.003438699396546034,0.004519074544161916,0.004324474023605146,0.003522082993235002,0.0034010095739110163,0.004573867866679382,0.004329772831087965,0.003589774772916868,0.003512998524572169,0.004456399711992151,0.004686937707759581,0.0035823389263569686,0.0034163529124435037,0.004491611176781898,0.004584522062731544,0.0035600575109181274,0.0034279221497216517,0.004497717478096126,0.004384618985704607,0.0036167140613073963,0.0034074275679134426,0.004517825109573121,0.004413083777708172,0.0035026983057494516,0.0034303425249043195
35,43.0,0.004492166256613412,0.004385870056349024,0.0034078767406011804,0.0034280478984592983,0.00439730179295906,0.004616159968865206,0.003471954519840782,0.0034132308812254947,0.004443547002297618,0.004265230009609242,0.0035012243865732698,0.0033617661651264923,0.004440004708917845,0.004258393021491726,0.0035870849377721446,0.0034531369980378376,0.0043752575290031195,0.004616290463502853,0.0035429109178489117,0.0033721137482537007,0.004428406964252708,0.004494653711435072,0.003507470860640521,0.00338984178597758,0.004387956158481461,0.004312238693241833,0.003590052618859873,0.0033411953269344274,0.004435605411264787,0.004319927671459201,0.003446232565406175,0.003364421256315199
36,44.0,0.0045698607935085464,0.004508957157624538,0.0035296611503992143,0.0035315931602120402,0.004459967322991756,0.004688471113754485,0.0035533191518468186,0.003511592764181512,0.004525063564371003,0.00437907569514763,0.0036291748619505745,0.0034482794775535304,0.004453899447158503,0.004356503225217461,0.003755099814577856,0.003510442627676886,0.00440515336763743,0.004676777257434343,0.0036181254353502205,0.003431188133115659,0.004502579100434177,0.00457410946752028,0.003594613224207108,0.0034772191166262743,0.004422827412030386,0.0044043969750764585,0.003731726419457575,0.0034027474845169906,0.004497466373488082,0.004427297909340018,0.0035626171972692436,0.0034288637970011013
37,45.0,0.004766440205459136,0.004753668759834166,0.0037831489219033888,0.003760955311454991,0.0046591548023508025,0.004921072291238434,0.0037567998079823654,0.003753649987579263,0.004742992466794028,0.0046007100135795264,0.0038753249869041685,0.003662492872832726,0.004591508838460132,0.0045654754047282,0.004013345903169149,0.0036876268528204257,0.004556245900687301,0.0048644942889226675,0.003812339027828871,0.0036201972144814824,0.00468150580180066,0.004744293727749621,0.003782241860936664,0.003674519823108779,0.004577582926156283,0.004593013392991763,0.003950195636960137,0.0035737109973099424,0.0046627418676196755,0.004600380171275672,0.0037575386150234705,0.0035971687533670753
38,46.0,0.006402547388992398,0.006340743640316467,0.005287792023728285,0.005303837558109748,0.006172972547990384,0.006488198995786551,0.005194146199037404,0.005284629088302898,0.006351070931659352,0.0061760596771906155,0.005424211615788779,0.0051376923874159675,0.006031643635037883,0.0061249369472138535,0.005615664184990816,0.005051827572195057,0.005909048308293682,0.006356345261174947,0.0052197644212258415,0.0049770589028506245,0.006142482779401983,0.006259776367163708,0.00523643219123278,0.005098431630287104,0.006035391487668215,0.006121093622812738,0.005506267358453165,0.004953240644301752,0.006099911780965142,0.006161245414432246,0.0052762213331657695,0.004966215129419943
39,47.0,0.007882803287158503,0.0077838635316997895,0.00657563806485903,0.0066030776231335055,0.007546457025333587,0.007955347746116304,0.006391017147908426,0.006581092565428808,0.007823280600085174,0.007586954614582027,0.0067369295121898765,0.0063833172150401345,0.007324346623992516,0.007495896020970107,0.0069291867382081105,0.0061820536495562056,0.007125797923434395,0.007705686238956226,0.006385282364557988,0.006116769808642592,0.007460451568322687,0.007591337344069708,0.006404574796209735,0.006270984696030818,0.007326217787859603,0.007432037760278632,0.006734183500154052,0.006062272914641003,0.007391936930524641,0.007503451181262038,0.006476985055309466,0.006078822810572102
