,freqs,gc_L2-L3->F7,gctr_L2-L3->F7,gc_F7->L2-L3,gctr_F7->L2-L3,gc_L2-L3->F8,gctr_L2-L3->F8,gc_F8->L2-L3,gctr_F8->L2-L3,gc_L2-L3->T7,gctr_L2-L3->T7,gc_T7->L2-L3,gctr_T7->L2-L3,gc_L2-L3->P7,gctr_L2-L3->P7,gc_P7->L2-L3,gctr_P7->L2-L3,gc_L2-L3->T8,gctr_L2-L3->T8,gc_T8->L2-L3,gctr_T8->L2-L3,gc_L2-L3->P8,gctr_L2-L3->P8,gc_P8->L2-L3,gctr_P8->L2-L3,gc_L2-L3->O1,gctr_L2-L3->O1,gc_O1->L2-L3,gctr_O1->L2-L3,gc_L2-L3->O2,gctr_L2-L3->O2,gc_O2->L2-L3,gctr_O2->L2-L3
20,28.0,0.008230448101789568,0.007152712329292699,0.006520288035025732,0.007428060952848752,0.008108149486545915,0.007693417621542637,0.007300538556603719,0.007707096885830114,0.008165991448363673,0.006728263378813357,0.006257022624675062,0.007150964202576814,0.008632534245791997,0.008024191851823844,0.007369526642467681,0.007576562984831879,0.007847919429007841,0.0076765918227378795,0.007084393457384218,0.006759080705934335,0.007242746574579515,0.007795035187379055,0.007070391104026355,0.006835423381144017,0.008130597047118134,0.008074773618395788,0.00757943263961245,0.0071626050137006065,0.008073141953857917,0.008222999414351874,0.007518923684167596,0.007386174012305678
21,29.0,0.008158217267662514,0.00697024745659966,0.0062504960853052155,0.007182464526453316,0.007942978457054353,0.007585426704273936,0.006979035768560229,0.007354331518372845,0.008084871227167735,0.006680841883889357,0.006103577985177842,0.00701685707574587,0.008550216427809513,0.007826800105907066,0.007042902740620787,0.007429995980167965,0.007772655856139491,0.007343320871700719,0.006681937144423103,0.006572637165932565,0.007288428077996643,0.00758056819726427,0.006660710418973338,0.006705515393302194,0.0078568515262523,0.007887315583586749,0.007189300791387646,0.006910842445044158,0.007927764030861104,0.008009326237070808,0.007118499972267216,0.007148628521996446
22,30.0,0.007648941807219434,0.006677950986249629,0.005829680554521878,0.006565577491276603,0.007444957396441101,0.007168746162490854,0.0063485807047199486,0.006733143498613068,0.007278324573910901,0.0064450665324779855,0.005773477039002465,0.0063904974111701615,0.007871703602501176,0.007266772807962089,0.006330932395799885,0.006751593610295805,0.007410701746650327,0.0066968118021737775,0.006020223241963001,0.006097344166453646,0.007054096168683445,0.007002801655688882,0.0059288476832328,0.006271701699308942,0.007277865985710413,0.0073474140555722985,0.006390790263919828,0.006369944801081505,0.007548745169873202,0.007451044284092091,0.006396832713428838,0.00670605636246262
23,31.0,0.007704682652490074,0.006524349751732946,0.005692695646590652,0.006495738125098396,0.007333087507308554,0.0069702564065036695,0.006099470594255435,0.006560343048722423,0.0071885365651613116,0.006316074987875438,0.005667028880876994,0.006366458767882428,0.007845412245224547,0.007055108744628823,0.00610548748858474,0.0067031755857510315,0.007371793827512587,0.006403182561318846,0.005771869713227685,0.006038399147409081,0.007132425658646601,0.006756085469923834,0.005663226818894116,0.006312120964743517,0.007136161638874875,0.0070971152872366765,0.0060458966225120534,0.006278464544073389,0.007459404397069373,0.007212982957469187,0.006081572763467588,0.006658661477200664
24,32.0,0.007325122574268974,0.006335180653435869,0.00544882961979125,0.006089318930392905,0.0068938980234229934,0.0065723711977836675,0.0056429847889462965,0.006167651525943616,0.0065688643970903465,0.006046160344804471,0.005443538299972213,0.005962333810256413,0.007313820851063321,0.006586203013816905,0.005623013403781166,0.006212210579393091,0.0070521119745430745,0.005935738178876518,0.005371953389769043,0.005731960979804472,0.006832575153653764,0.006300798326263371,0.005189656466944396,0.006005143019682125,0.006754585853061146,0.006581899699923336,0.0054418561528730746,0.00594445769952476,0.007171951867065117,0.0067694321966587255,0.005586530898799134,0.006389293011296254
25,33.0,0.007324821351673574,0.00630132684827846,0.005410150231545969,0.006019574195424343,0.006763341093234312,0.006455618544232854,0.005533347636719288,0.006039035022548416,0.006578637803774954,0.0059361056825741505,0.005416558634161933,0.006005994692951358,0.007357148964660279,0.00649261563213906,0.005555172115881797,0.006202399764960908,0.0069724251945205195,0.005778087666490255,0.00529868667797809,0.005690513543852467,0.0067535033336400254,0.0061339429097959156,0.005034661903400315,0.005976320847418201,0.0067329536917771415,0.006372923373015503,0.005237146747730891,0.00590409991848131,0.0071178674844019135,0.006632234480126484,0.0054329574371356805,0.006348902849866793
26,34.0,0.006914302019644191,0.006206516043307821,0.005262723656355601,0.005677731360735802,0.006384899669544351,0.00620616834771446,0.005256152138558819,0.005749127197910292,0.0061589555984529415,0.005745593743489433,0.005316847108516619,0.005717341072347546,0.006926918851396581,0.006192650639571011,0.005267770020715538,0.005808667299167357,0.006706003585200543,0.005447632444111505,0.005084830296631353,0.005485711679373587,0.006433076439705646,0.005832607482666615,0.004739859461348844,0.00568426933861158,0.006456889123688271,0.005985955182353615,0.004855256261225851,0.005655845902826349,0.006878484587128216,0.006359779246012081,0.0051768921441383686,0.006110264405162756
27,35.0,0.006809572874155247,0.006177064067180654,0.005256230721575501,0.005591482309853438,0.0063029948803865156,0.006201431511660905,0.005265127746530315,0.0056529566278408685,0.006241112902668751,0.005691751215895358,0.005343326024973231,0.005757746857800133,0.00701952969069603,0.0062442347682680885,0.005319771395146995,0.005834290584192001,0.006663795984574175,0.005366559445397868,0.005109139020843284,0.005506376602857342,0.006365730726134562,0.005769152240769721,0.00469129864001758,0.005625309739898268,0.006500749349491896,0.005932317186305225,0.004825958786986431,0.005650971764958394,0.006825156823869981,0.006378644822002548,0.005201604447183597,0.00605107437028345
28,36.0,0.006389287069828949,0.006021534376765676,0.005123522710383164,0.005304791136772042,0.00602728566183194,0.006053158336934405,0.00509323735977126,0.005452107760174233,0.00589537333132263,0.005566705314180405,0.005315763316734163,0.005464316174130972,0.006654596616159498,0.006093277205808191,0.005169042126732004,0.005539451814184148,0.006450910235833923,0.005097702020124282,0.004970840318054986,0.005388073115307181,0.006147006618498428,0.005607660979812351,0.004538877850937515,0.005397189423257665,0.006304355801840755,0.005723706653794942,0.004625044555582564,0.005486396956699422,0.0066268234222257045,0.006295347172619915,0.005119504434798936,0.005878079759844076
29,37.0,0.006313389821933362,0.005910124266060023,0.005086715880835367,0.005263669019622573,0.006041814303609157,0.006106958289925133,0.005152469698246088,0.005434521290528002,0.005970798565365557,0.005530394203996227,0.005340077025296288,0.00547922690145845,0.006786772956695558,0.006254327419540529,0.005309156310978717,0.005635712929478334,0.006465216657861662,0.0050686266713498304,0.005027236982442437,0.0054753321373356475,0.006175957281368259,0.0056713527294479016,0.004598534533869402,0.00539867301615941,0.006434618505890591,0.0058084959686555615,0.004717753437873668,0.005556372038990029,0.006641190466806153,0.006469003194497697,0.005257388094045208,0.005891994542532336
30,38.0,0.005999299921644524,0.005724752995484218,0.004962839335867637,0.005067134155354348,0.005867599165552479,0.006024349999629713,0.005043349730771922,0.005341962437613822,0.005634014893671278,0.005419577361216182,0.005306223013341702,0.005211207709156931,0.006503365410466124,0.006176154506930724,0.0052416209136621865,0.005453686552085454,0.006300329519781184,0.00485209505352665,0.004929265955382413,0.005377448243078681,0.006046360153010376,0.005625840004933726,0.00455457139294982,0.005249301591106542,0.006317015031047528,0.005695490607763104,0.00460674043911194,0.005460599476687477,0.006557412524888113,0.006492514733038584,0.005254971957148936,0.005824946344840162
31,39.0,0.006049824073792866,0.005653396881240886,0.004960572578510476,0.005103571383564793,0.0059629545391652475,0.006133685782124749,0.00515953879452193,0.005410459019369938,0.005719472825782411,0.005422863758484332,0.005347249853510149,0.005273106973351514,0.006709717697671492,0.006396056330090294,0.005461854353818406,0.00562581966891308,0.006370648909934756,0.00488079248314097,0.005028751649782298,0.005478008232319463,0.006138050736626503,0.005779156350524334,0.004703961874684874,0.0053027610198086985,0.0065158447820837535,0.005839791219404028,0.004765957944895104,0.005575115687244111,0.006714243132037089,0.006731346748558017,0.00545866313528615,0.005932132034336064
32,40.0,0.005909121800015611,0.005601092538417801,0.0049683142001281135,0.00503632250859924,0.005903761000758375,0.006166133313844595,0.005193945540781138,0.005427357585110019,0.00546966947140675,0.00535200297940214,0.005340000166043119,0.0051154770756560615,0.006577028294841092,0.006354280730720079,0.005494805182211525,0.005559454786459913,0.006292250718389934,0.00473822199045533,0.005014056049616589,0.005375673668509347,0.006078011686401394,0.005812846505304386,0.004769273600062572,0.005215972714862982,0.006450075569788152,0.00578916773367129,0.004745246157971548,0.00551612813941041,0.006781448314842806,0.006803102958152206,0.005538108133342557,0.005958149847503364
33,41.0,0.006095279189142937,0.005696599335559165,0.0051212735022747565,0.005172842077538092,0.006090304663772617,0.0063800501896185404,0.005450493034534506,0.005579914336344703,0.005675952263888774,0.005464329640746524,0.005485895014573148,0.005296755208436057,0.006935153056790423,0.006662975714223175,0.005871799730869846,0.0058434084309163595,0.0064409504259659335,0.004845830680831069,0.00519771762438811,0.005497530826776818,0.006231712399856144,0.006020626957950423,0.005015606680265188,0.005325516443129727,0.00670518030381935,0.00601239386456808,0.005004225166779988,0.005683156410804455,0.007112045145691487,0.007106969615548739,0.005867215352278955,0.006178887023832255
34,42.0,0.006178050626397366,0.0059049415090756145,0.005386892835060936,0.0053116832176485435,0.006224135775201315,0.006689360450658838,0.00576827463823361,0.005795004245879574,0.005670410981582574,0.005558670741639652,0.00562978987117053,0.00534817763719364,0.007085591831255185,0.006768037482698948,0.006168433915393072,0.005997489177740443,0.0065656242022234445,0.004849148988778979,0.005358267547291866,0.005513648479610038,0.006326545528621402,0.006186958969386667,0.005249317569738675,0.005390529977478474,0.006770183104675086,0.006141192179506973,0.005178593952401424,0.005766060616063311,0.007432934190740683,0.00733767209738918,0.006177387714861378,0.006410625664660654
35,43.0,0.006536324291900417,0.006238036464614367,0.005763688665229701,0.005626646428905988,0.006592845009332979,0.007143360903437186,0.006254518591734009,0.006146329836900281,0.006148069012687574,0.005890521623328357,0.005996052771971409,0.0057421860402748085,0.0077447154447985505,0.0072817605142008815,0.006886801422983772,0.006532037696127356,0.006869894777865101,0.005137659860882317,0.0056982346842652035,0.005804563524621983,0.006655094554892098,0.0065452400857593076,0.005648417050876589,0.005687531430091491,0.007184442550207608,0.006561897805050081,0.005635222821866331,0.006119708015057341,0.008072869199978145,0.007866846968834227,0.0068047899183713905,0.006905671906305528
36,44.0,0.007104738427254199,0.006989052254142586,0.006536433842856673,0.006284837556644621,0.007170946729678586,0.008186632885320823,0.007112985967028907,0.006966097768361984,0.00674856317757547,0.0064902144017115375,0.006640085846095272,0.0063121757069399525,0.0085251322774708,0.007921423803621654,0.007820426444016239,0.007327539234043415,0.007517042435362845,0.005568407645502287,0.0062770202556027554,0.006335235210830252,0.00719470756898965,0.007187265418148113,0.006279237392252019,0.006266010685681402,0.007708590041685111,0.007242314077850185,0.006288470719777678,0.006752624812603092,0.009060935462419576,0.008725516796028553,0.007757290050115486,0.00782258084623169
37,45.0,0.007932802516630337,0.007839907565346574,0.007384899751631148,0.007121022213000957,0.008042427835748482,0.009231494752046309,0.008071329964697059,0.007929879162956474,0.007770843216890619,0.00725801210260403,0.007492562804226067,0.007122306899037424,0.009788916011228435,0.009074255054386306,0.009197245401468851,0.008572951911072454,0.008167643683605721,0.006407278839471285,0.007020254674468527,0.007192936770211835,0.008024633105849716,0.008093872044114284,0.0071136314987783455,0.007140614536908859,0.008640029888261546,0.008228628461314193,0.0072671002580205046,0.007685176955910066,0.010344990061728782,0.009883646919185888,0.009011420031044578,0.008976642683795902
38,46.0,0.011597059196273494,0.011729339106244857,0.011155017867549497,0.01099046929705414,0.011914311204084125,0.013673724817211968,0.012144634761446529,0.012475743621134985,0.011283280812698911,0.010297603349302372,0.010974765961564699,0.010208362536518637,0.014240269905391777,0.01388406536390013,0.013708356183032212,0.01364015392940163,0.011257404278163463,0.009817268229894994,0.01029940653853548,0.010954112521122515,0.011657839187187477,0.012064902252781739,0.010784491283238022,0.01101229634124948,0.012561897848390253,0.01244503342944058,0.01128921224262377,0.011830422807826924,0.015374195796439514,0.014739368949842237,0.013910840833799301,0.013933294801496736
39,47.0,0.02218330089347287,0.024662757147720628,0.020970752579292703,0.024675230963640802,0.03059564795167335,0.02486761985151334,0.02198365192439685,0.02658723008911231,0.021015054235357787,0.014511116902544478,0.018160997872577713,0.015209874242136115,0.034142105170456606,0.04237681701471392,0.03752904487851585,0.04772317709986351,0.01470832753905919,0.019785723934465906,0.01613858594306636,0.019337550591513285,0.03484538772984663,0.025635407650616716,0.04170883093295166,0.02341324940652726,0.05321702366737388,0.024368396689734104,0.0322071697234616,0.025096574460298643,0.04084464033254967,0.02859637822898537,0.0380255412818122,0.02991384005635956
