# ts,saccadeRate
1.060476556979576571e+03,1.600000000000000089e+00
1.065476556979576571e+03,1.199999999999999956e+00
1.070476556979576571e+03,1.000000000000000000e+00
1.075476556979576571e+03,6.000000000000000888e-01
1.080476556979576571e+03,1.399999999999999911e+00
1.085476556979576571e+03,1.800000000000000044e+00
1.090476556979576571e+03,2.400000000000000355e+00
1.095476556979576571e+03,1.799999999999999822e+00
1.100476556979576571e+03,2.399999999999999911e+00
1.105476556979576571e+03,2.000000000000000000e+00
1.110476556979576571e+03,2.799999999999999822e+00
1.115476556979576571e+03,1.800000000000000044e+00
1.120476556979576571e+03,3.399999999999999911e+00
1.125476556979576571e+03,5.000000000000000000e+00
1.130476556979576571e+03,3.000000000000000000e+00
1.135476556979576571e+03,2.000000000000000000e+00
1.140476556979576571e+03,1.600000000000000089e+00
1.145476556979576571e+03,8.000000000000000444e-01
1.150476556979576571e+03,1.399999999999999911e+00
1.155476556979576571e+03,1.799999999999999822e+00
1.160476556979576571e+03,1.199999999999999956e+00
1.165476556979576571e+03,2.200000000000000178e+00
1.170476556979576571e+03,1.799999999999999822e+00
1.175476556979576571e+03,2.599999999999999645e+00
1.180476556979576571e+03,2.200000000000000178e+00
1.185476556979576571e+03,1.000000000000000000e+00
1.190476556979576571e+03,4.000000000000000222e-01
1.195476556979576571e+03,2.000000000000000000e+00
1.200476556979576571e+03,3.800000000000000266e+00
1.205476556979576571e+03,2.399999999999999911e+00
1.210476556979576571e+03,3.000000000000000000e+00
1.215476556979576571e+03,2.200000000000000178e+00
1.220476556979576571e+03,2.000000000000000000e+00
1.225476556979576571e+03,1.800000000000000044e+00
1.230476556979576571e+03,1.600000000000000089e+00
1.235476556979576571e+03,2.000000000000000000e+00
1.240476556979576571e+03,1.399999999999999911e+00
1.245476556979576571e+03,2.000000000000000000e+00
1.250476556979576571e+03,1.399999999999999911e+00
1.255476556979576571e+03,1.600000000000000089e+00
1.260476556979576571e+03,2.200000000000000178e+00
1.265476556979576571e+03,2.000000000000000000e+00
1.270476556979576571e+03,6.000000000000000888e-01
1.275476556979576571e+03,8.000000000000000444e-01
1.280476556979576571e+03,1.799999999999999822e+00
1.285476556979576571e+03,2.000000000000000000e+00
1.290476556979576571e+03,2.600000000000000089e+00
1.295476556979576571e+03,3.600000000000000089e+00
1.300476556979576571e+03,2.399999999999999911e+00
1.305476556979576571e+03,2.600000000000000089e+00
1.310476556979576571e+03,2.200000000000000178e+00
1.315476556979576571e+03,1.600000000000000089e+00
1.320476556979576571e+03,1.600000000000000089e+00
1.325476556979576571e+03,2.600000000000000089e+00
1.330476556979576571e+03,3.400000000000000355e+00
1.335476556979576571e+03,3.000000000000000000e+00
1.340476556979576571e+03,2.599999999999999645e+00
1.345476556979576571e+03,2.200000000000000178e+00
1.350476556979576571e+03,3.200000000000000178e+00
1.355476556979576571e+03,3.799999999999999822e+00
1.360476556979576571e+03,3.200000000000000178e+00
1.365476556979576571e+03,3.799999999999999822e+00
1.370476556979576571e+03,2.799999999999999822e+00
1.375476556979576571e+03,2.200000000000000178e+00
1.380476556979576571e+03,1.000000000000000000e+00
1.385476556979576571e+03,2.799999999999999822e+00
1.390476556979576571e+03,1.799999999999999822e+00
1.395476556979576571e+03,1.600000000000000089e+00
1.400476556979576571e+03,2.200000000000000178e+00
1.405476556979576571e+03,3.400000000000000355e+00
1.410476556979576571e+03,2.600000000000000089e+00
1.415476556979576571e+03,3.400000000000000355e+00
1.420476556979576571e+03,3.200000000000000178e+00
1.425476556979576571e+03,2.400000000000000355e+00
1.430476556979576571e+03,2.399999999999999911e+00
1.435476556979576571e+03,3.000000000000000000e+00
1.440476556979576571e+03,2.600000000000000089e+00
1.445476556979576571e+03,1.199999999999999956e+00
1.450476556979576571e+03,1.000000000000000000e+00
1.455476556979576571e+03,8.000000000000000444e-01
1.460476556979576571e+03,1.600000000000000089e+00
1.465476556979576571e+03,1.600000000000000089e+00
1.470476556979576571e+03,2.799999999999999822e+00
1.475476556979576571e+03,2.799999999999999822e+00
1.480476556979576571e+03,2.399999999999999911e+00
1.485476556979576571e+03,3.000000000000000000e+00
1.490476556979576571e+03,3.799999999999999822e+00
1.495476556979576571e+03,1.600000000000000089e+00
1.500476556979576571e+03,2.600000000000000089e+00
1.505476556979576571e+03,2.600000000000000089e+00
1.510476556979576571e+03,2.600000000000000089e+00
1.515476556979576571e+03,2.799999999999999822e+00
1.520476556979576571e+03,1.799999999999999822e+00
1.525476556979576571e+03,1.200000000000000178e+00
1.530476556979576571e+03,1.000000000000000000e+00
1.535476556979576571e+03,1.399999999999999911e+00
1.540476556979576571e+03,2.600000000000000089e+00
1.545476556979576571e+03,3.000000000000000000e+00
1.550476556979576571e+03,1.799999999999999822e+00
1.555476556979576571e+03,3.000000000000000000e+00
1.560476556979576571e+03,2.000000000000000000e+00
1.565476556979576571e+03,1.799999999999999822e+00
1.570476556979576571e+03,1.000000000000000000e+00
1.575476556979576571e+03,8.000000000000000444e-01
1.580476556979576571e+03,4.000000000000000222e-01
1.585476556979576571e+03,1.600000000000000089e+00
1.590476556979576571e+03,1.799999999999999822e+00
1.595476556979576571e+03,2.399999999999999911e+00
1.600476556979576571e+03,5.999999999999999778e-01
1.605476556979576571e+03,1.799999999999999822e+00
1.610476556979576571e+03,1.399999999999999911e+00
1.615476556979576571e+03,8.000000000000000444e-01
1.620476556979576571e+03,6.000000000000000888e-01
1.625476556979576571e+03,1.399999999999999911e+00
1.630476556979576571e+03,1.000000000000000000e+00
1.635476556979576571e+03,1.399999999999999911e+00
1.640476556979576571e+03,4.000000000000000000e+00
1.645476556979576571e+03,3.000000000000000000e+00
1.650476556979576571e+03,4.000000000000000000e+00
1.655476556979576571e+03,1.000000000000000000e+00
1.660476556979576571e+03,1.399999999999999911e+00
1.665476556979576571e+03,1.399999999999999911e+00
1.670476556979576571e+03,1.399999999999999911e+00
1.675476556979576571e+03,1.399999999999999911e+00
1.680476556979576571e+03,0.000000000000000000e+00
1.685476556979576571e+03,1.399999999999999911e+00
