# ts,pupil
4.854765569795765145e+02,3.760370227818409461e+00
4.904765569795765145e+02,3.676762116699067828e+00
4.954765569795765145e+02,3.701094700566578410e+00
5.004765569795765145e+02,3.812308969545721737e+00
5.054765569795765145e+02,3.513821960918531939e+00
5.104765569795765714e+02,3.719047719153441900e+00
5.154765569795765714e+02,3.718986802224006016e+00
5.204765569795765714e+02,3.668350407188202489e+00
5.254765569795765714e+02,3.786530077627929369e+00
5.304765569795765714e+02,3.355632692992502442e+00
5.354765569795765714e+02,3.429136036492499429e+00
5.404765569795765714e+02,3.613031476381059370e+00
5.454765569795765714e+02,3.644071049236390358e+00
5.504765569795765714e+02,3.678093267618993689e+00
5.554765569795765714e+02,3.744391582848714428e+00
5.604765569795765714e+02,3.612665159582042929e+00
5.654765569795765714e+02,3.779274123587200940e+00
5.704765569795765714e+02,3.528316303138330223e+00
5.754765569795765714e+02,3.615434085636448192e+00
5.804765569795765714e+02,3.587209986321615141e+00
5.854765569795765714e+02,4.051112390633561766e+00
5.904765569795765714e+02,4.477247574751320514e+00
5.954765569795765714e+02,nan
6.004765569795765714e+02,nan
6.054765569795765714e+02,4.763483675937497885e+00
6.104765569795765714e+02,3.967731409486944472e+00
6.154765569795765714e+02,3.710946071761249687e+00
6.204765569795765714e+02,3.617003756939633163e+00
6.254765569795765714e+02,3.480393878556852005e+00
6.304765569795765714e+02,3.652744558280989207e+00
6.354765569795765714e+02,3.807218736561993833e+00
6.404765569795765714e+02,4.005293167169694080e+00
6.454765569795765714e+02,3.774452125558981574e+00
6.504765569795765714e+02,3.723106718361625767e+00
6.554765569795765714e+02,3.744055303397737067e+00
6.604765569795765714e+02,3.634129636492898996e+00
6.654765569795765714e+02,3.831118784169679437e+00
6.704765569795765714e+02,3.769826926268811551e+00
6.754765569795765714e+02,3.886629189658842520e+00
6.804765569795765714e+02,3.737497726082510408e+00
6.854765569795765714e+02,3.748952255925084298e+00
6.904765569795765714e+02,3.736529761833998098e+00
6.954765569795765714e+02,3.742530523174101287e+00
7.004765569795765714e+02,3.689654498983629072e+00
7.054765569795765714e+02,3.696390382986325385e+00
7.104765569795765714e+02,4.014686351908975936e+00
7.154765569795765714e+02,3.959003012156876888e+00
7.204765569795765714e+02,3.968053862837322754e+00
7.254765569795765714e+02,4.003331058320781288e+00
7.304765569795765714e+02,4.055562350761571011e+00
7.354765569795765714e+02,3.999719824302943039e+00
7.404765569795765714e+02,4.072984787273999707e+00
7.454765569795765714e+02,4.009382132968531742e+00
7.504765569795765714e+02,3.676325321432097670e+00
7.554765569795765714e+02,4.018191087250139404e+00
7.604765569795765714e+02,4.001748040069314172e+00
7.654765569795765714e+02,3.529119498579747383e+00
7.704765569795765714e+02,3.558504750423606033e+00
7.754765569795765714e+02,3.456760239311555960e+00
7.804765569795765714e+02,3.510411676153575744e+00
7.854765569795765714e+02,3.601587546635522052e+00
7.904765569795765714e+02,3.602058667939240344e+00
7.954765569795765714e+02,3.997997932509978369e+00
8.004765569795765714e+02,3.981832770907494545e+00
8.054765569795765714e+02,3.837004571498038086e+00
8.104765569795765714e+02,4.039481182895594102e+00
8.154765569795765714e+02,4.157191116973558032e+00
8.204765569795765714e+02,3.949847307187758894e+00
8.254765569795765714e+02,3.846374008211908890e+00
8.304765569795765714e+02,3.757331646380471568e+00
8.354765569795765714e+02,3.784494856106740635e+00
8.404765569795765714e+02,3.898896735063707819e+00
8.454765569795765714e+02,3.776982212426037488e+00
8.504765569795765714e+02,3.798162910583915419e+00
8.554765569795765714e+02,3.349994009229638969e+00
8.604765569795765714e+02,3.450388422338922734e+00
8.654765569795765714e+02,3.605834639393320273e+00
8.704765569795765714e+02,3.841384508055523117e+00
8.754765569795765714e+02,3.824098765967498981e+00
8.804765569795765714e+02,3.601784467258612121e+00
8.854765569795765714e+02,3.468902120995926541e+00
8.904765569795765714e+02,3.577372607803378735e+00
8.954765569795765714e+02,3.600479587103648793e+00
9.004765569795765714e+02,3.296931176927500484e+00
9.054765569795765714e+02,3.387006630802139373e+00
9.104765569795765714e+02,3.527734466699522287e+00
9.154765569795765714e+02,3.584784071052717458e+00
9.204765569795765714e+02,3.605451159331945377e+00
9.254765569795765714e+02,3.848045569365429852e+00
9.304765569795765714e+02,3.844792839443364141e+00
9.354765569795765714e+02,3.295626412927671112e+00
9.404765569795765714e+02,3.422361728715763274e+00
9.454765569795765714e+02,3.658901927356665418e+00
9.504765569795765714e+02,3.823506752317743285e+00
9.554765569795765714e+02,3.697830862222732939e+00
9.604765569795765714e+02,3.719848715482535706e+00
9.654765569795765714e+02,3.711531271240019247e+00
9.704765569795765714e+02,3.801676836197284803e+00
9.754765569795765714e+02,3.999001906630413217e+00
9.804765569795765714e+02,3.994756571081133689e+00
9.854765569795765714e+02,4.030183540346796711e+00
9.904765569795765714e+02,3.989767961472958202e+00
9.954765569795765714e+02,4.109867474557160172e+00
1.000476556979576571e+03,4.214182201606704758e+00
1.005476556979576571e+03,4.126359031566351199e+00
1.010476556979576571e+03,3.669569217793178684e+00
1.015476556979576571e+03,3.658148500653293667e+00
1.020476556979576571e+03,3.838740387758164729e+00
1.025476556979576571e+03,4.086385257473558852e+00
1.030476556979576571e+03,3.706991016711184805e+00
1.035476556979576571e+03,3.734502196386882300e+00
1.040476556979576571e+03,3.733099483991853429e+00
1.045476556979576571e+03,3.668218858619676226e+00
1.050476556979576571e+03,3.591033199635045747e+00
1.055476556979576571e+03,3.889715382645458686e+00
1.060476556979576571e+03,3.636583673110477033e+00
1.065476556979576571e+03,3.441972344730746869e+00
1.070476556979576571e+03,3.461983659160118521e+00
1.075476556979576571e+03,3.765446824465670250e+00
1.080476556979576571e+03,3.575478178278246766e+00
1.085476556979576571e+03,3.532255866432355784e+00
1.090476556979576571e+03,3.237731090349723395e+00
1.095476556979576571e+03,3.472981208905810302e+00
1.100476556979576571e+03,3.524257416485946592e+00
1.105476556979576571e+03,3.359183993529136103e+00
1.110476556979576571e+03,3.625298477519555806e+00
1.115476556979576571e+03,3.695934826491320102e+00
1.120476556979576571e+03,3.717509691772859615e+00
1.125476556979576571e+03,3.671432127394217648e+00
1.130476556979576571e+03,3.712996297997090966e+00
1.135476556979576571e+03,3.421522292407565224e+00
1.140476556979576571e+03,3.812971831017019309e+00
1.145476556979576571e+03,3.878122239151702288e+00
1.150476556979576571e+03,3.863354870053049783e+00
1.155476556979576571e+03,3.785692118845007670e+00
1.160476556979576571e+03,3.973265950908648314e+00
1.165476556979576571e+03,3.932381510540694070e+00
1.170476556979576571e+03,4.003740632403432365e+00
1.175476556979576571e+03,3.946371807058800307e+00
1.180476556979576571e+03,3.827060113306325118e+00
1.185476556979576571e+03,3.879220472292054911e+00
1.190476556979576571e+03,3.610721302825848689e+00
1.195476556979576571e+03,3.668687707204021375e+00
1.200476556979576571e+03,3.663538434107008968e+00
1.205476556979576571e+03,3.968670052630484779e+00
1.210476556979576571e+03,3.644678107348616969e+00
1.215476556979576571e+03,3.705398852800762199e+00
1.220476556979576571e+03,3.746834105839350837e+00
1.225476556979576571e+03,3.301731219694716390e+00
1.230476556979576571e+03,3.335902787518181256e+00
1.235476556979576571e+03,3.548189471036530929e+00
1.240476556979576571e+03,3.636343548531512759e+00
1.245476556979576571e+03,3.646055966861078357e+00
1.250476556979576571e+03,3.619398838312408273e+00
1.255476556979576571e+03,3.476333048710121609e+00
1.260476556979576571e+03,3.585334095371498719e+00
1.265476556979576571e+03,3.831010315110181086e+00
1.270476556979576571e+03,3.403840629510170412e+00
1.275476556979576571e+03,3.539409875818296136e+00
1.280476556979576571e+03,3.633413493406994377e+00
1.285476556979576571e+03,3.600849972811568378e+00
1.290476556979576571e+03,3.682088541805895954e+00
1.295476556979576571e+03,3.999068705959134107e+00
1.300476556979576571e+03,4.106231341609969832e+00
1.305476556979576571e+03,3.943462044450838810e+00
1.310476556979576571e+03,4.107175995811259916e+00
1.315476556979576571e+03,3.937134881879142512e+00
1.320476556979576571e+03,3.721024304373321989e+00
1.325476556979576571e+03,4.026848530097993262e+00
1.330476556979576571e+03,4.101609277262578068e+00
1.335476556979576571e+03,3.816462161505399298e+00
1.340476556979576571e+03,3.790232262255774476e+00
1.345476556979576571e+03,3.974762702063802333e+00
1.350476556979576571e+03,3.878391904613738728e+00
1.355476556979576571e+03,3.877570490320568553e+00
1.360476556979576571e+03,3.785791044327256216e+00
1.365476556979576571e+03,3.847946967065195789e+00
1.370476556979576571e+03,3.658941994239006235e+00
1.375476556979576571e+03,3.615420190458596750e+00
1.380476556979576571e+03,3.748291934226801736e+00
1.385476556979576571e+03,3.634255218978923452e+00
1.390476556979576571e+03,3.700307456192680977e+00
1.395476556979576571e+03,3.783285303665434807e+00
1.400476556979576571e+03,3.987688077379060836e+00
1.405476556979576571e+03,3.837573519362245111e+00
1.410476556979576571e+03,3.869912778455801838e+00
1.415476556979576571e+03,3.465030116759421297e+00
1.420476556979576571e+03,3.628208299359497957e+00
1.425476556979576571e+03,3.373889298576390861e+00
1.430476556979576571e+03,3.822473768404508476e+00
1.435476556979576571e+03,3.917739327713159803e+00
1.440476556979576571e+03,3.712620004238943228e+00
1.445476556979576571e+03,3.670293417673172964e+00
1.450476556979576571e+03,4.021013881604721618e+00
1.455476556979576571e+03,3.989733000521811235e+00
1.460476556979576571e+03,3.860171809393323716e+00
1.465476556979576571e+03,3.807116809629538690e+00
1.470476556979576571e+03,3.657252581889080645e+00
1.475476556979576571e+03,3.836443289218631314e+00
1.480476556979576571e+03,3.897475197015653148e+00
1.485476556979576571e+03,3.972459256796094795e+00
1.490476556979576571e+03,3.790787726042416761e+00
1.495476556979576571e+03,3.736406881218244269e+00
1.500476556979576571e+03,3.812247603870383195e+00
1.505476556979576571e+03,3.957119683233756291e+00
1.510476556979576571e+03,3.779762690219615973e+00
1.515476556979576571e+03,3.891103463187445932e+00
1.520476556979576571e+03,4.041757458483945520e+00
1.525476556979576571e+03,3.930889243790760101e+00
1.530476556979576571e+03,3.752183188115471690e+00
1.535476556979576571e+03,3.964602643605866561e+00
1.540476556979576571e+03,3.984796251547211732e+00
1.545476556979576571e+03,3.775234960494091130e+00
1.550476556979576571e+03,3.872364607267180237e+00
1.555476556979576571e+03,3.840393126534134005e+00
1.560476556979576571e+03,3.587324069427051398e+00
1.565476556979576571e+03,3.697473907893359613e+00
1.570476556979576571e+03,3.866603790815667185e+00
1.575476556979576571e+03,3.726977904040707390e+00
1.580476556979576571e+03,3.642894723382369637e+00
1.585476556979576571e+03,3.565350816074705165e+00
1.590476556979576571e+03,3.606840056868097388e+00
1.595476556979576571e+03,3.462811438821931098e+00
