# ts,pupil
1.924736179719815709e+03,2.265562974114820882e+00
1.929736179719815709e+03,2.254455146948801669e+00
1.934736179719815709e+03,2.256248429034958480e+00
1.939736179719815709e+03,2.164752064140799348e+00
1.944736179719815709e+03,2.211951215697043338e+00
1.949736179719815709e+03,2.211347717688882053e+00
1.954736179719815709e+03,2.294070611747604183e+00
1.959736179719815709e+03,2.230494535070262963e+00
1.964736179719815709e+03,2.344418129140469098e+00
1.969736179719815709e+03,2.173399313619462259e+00
1.974736179719815709e+03,2.252126102418396503e+00
1.979736179719815709e+03,2.502989759526137892e+00
1.984736179719815709e+03,2.441487488108013970e+00
1.989736179719815709e+03,2.360431930728714711e+00
1.994736179719815709e+03,2.378852291439373268e+00
1.999736179719815709e+03,2.454539200794994436e+00
2.004736179719815709e+03,2.252809121278053439e+00
2.009736179719815709e+03,2.193268022549973661e+00
2.014736179719815709e+03,2.137794745255857887e+00
2.019736179719815709e+03,2.224851947782529482e+00
2.024736179719815709e+03,2.171470028798096585e+00
2.029736179719815709e+03,2.173229960760527657e+00
2.034736179719815709e+03,2.363526763651086604e+00
2.039736179719815709e+03,2.237179979115214490e+00
2.044736179719815709e+03,2.322134860470939532e+00
2.049736179719815482e+03,2.204206562245166090e+00
2.054736179719815482e+03,2.215691544054119166e+00
2.059736179719815482e+03,2.228279546891668961e+00
2.064736179719815482e+03,2.442306407063118190e+00
2.069736179719815482e+03,2.374255448347736941e+00
2.074736179719815482e+03,2.208888675041579930e+00
2.079736179719815482e+03,2.229979671273180308e+00
2.084736179719815482e+03,2.212408175901422691e+00
2.089736179719815482e+03,2.197147225873335330e+00
2.094736179719815482e+03,2.218482734585925265e+00
2.099736179719815482e+03,2.156628099998945558e+00
2.104736179719815482e+03,2.123919886182607630e+00
2.109736179719815482e+03,2.097605134060029020e+00
2.114736179719815482e+03,2.062450904752933578e+00
2.119736179719815482e+03,2.016069551308299790e+00
2.124736179719815482e+03,2.228775134141853353e+00
2.129736179719815482e+03,nan
2.134736179719815482e+03,2.514025596456954226e+00
2.139736179719815482e+03,2.412123985261647174e+00
2.144736179719815482e+03,2.443153571562638238e+00
2.149736179719815482e+03,2.310600743866880968e+00
2.154736179719815482e+03,2.249773077405417432e+00
2.159736179719815482e+03,2.268488548755147605e+00
2.164736179719815482e+03,2.280932853838973262e+00
2.169736179719815482e+03,2.277264396534312674e+00
2.174736179719815482e+03,2.241805321564553477e+00
2.179736179719815482e+03,2.230898616326351558e+00
2.184736179719815482e+03,2.182471162385361652e+00
2.189736179719815482e+03,2.203531486805998529e+00
2.194736179719815482e+03,2.146356331989573984e+00
2.199736179719815482e+03,2.109534551780763323e+00
2.204736179719815482e+03,2.259782941995665873e+00
2.209736179719815482e+03,2.264884241539829368e+00
2.214736179719815482e+03,2.269697893578638048e+00
2.219736179719815482e+03,2.208653772784212599e+00
2.224736179719815482e+03,2.300817377658334717e+00
2.229736179719815482e+03,2.223080997181725582e+00
2.234736179719815482e+03,2.324797805124105832e+00
2.239736179719815482e+03,2.291823973163615857e+00
2.244736179719815482e+03,2.326607722460188210e+00
2.249736179719815482e+03,2.168427333523908818e+00
2.254736179719815482e+03,2.162285310662817039e+00
2.259736179719815482e+03,2.045623616907707554e+00
2.264736179719815482e+03,2.258760916947711639e+00
2.269736179719815482e+03,2.159205127821471670e+00
2.274736179719815482e+03,2.255681916475017701e+00
2.279736179719815482e+03,2.063756609501586681e+00
2.284736179719815482e+03,2.364252987551060059e+00
2.289736179719815482e+03,2.522528668239477856e+00
2.294736179719815482e+03,2.409820798012515919e+00
2.299736179719815482e+03,2.389735338029366662e+00
2.304736179719815482e+03,2.393911996361130612e+00
2.309736179719815482e+03,2.286006907948793021e+00
2.314736179719815482e+03,2.157289804993807625e+00
2.319736179719815482e+03,2.191859587715451418e+00
2.324736179719815482e+03,2.304208184411550953e+00
2.329736179719815482e+03,2.305243040706351110e+00
2.334736179719815482e+03,2.226705013143696288e+00
2.339736179719815482e+03,2.083903368723525773e+00
2.344736179719815482e+03,2.209419892406586872e+00
2.349736179719815482e+03,2.267573432918359000e+00
2.354736179719815482e+03,2.403312892528102651e+00
2.359736179719815482e+03,2.392636857816536011e+00
2.364736179719815482e+03,2.291679146055169980e+00
2.369736179719815482e+03,2.241022538642138073e+00
2.374736179719815482e+03,2.267167116185143438e+00
2.379736179719815482e+03,2.248384682080371455e+00
2.384736179719815482e+03,2.287379073579746347e+00
2.389736179719815482e+03,2.201590590855333929e+00
2.394736179719815482e+03,2.234365748757304537e+00
2.399736179719815482e+03,2.339352336535795995e+00
2.404736179719815482e+03,2.194785662536919091e+00
2.409736179719815482e+03,2.150264018310732439e+00
2.414736179719815482e+03,2.278910190296820293e+00
2.419736179719815482e+03,2.393683984531917108e+00
2.424736179719815482e+03,2.223568463034599763e+00
2.429736179719815482e+03,2.175045389922860561e+00
2.434736179719815482e+03,2.181873397919342317e+00
2.439736179719815482e+03,2.350279903995591280e+00
2.444736179719815482e+03,2.370935269648659638e+00
2.449736179719815482e+03,2.292439877031569484e+00
2.454736179719815482e+03,2.426860839402126491e+00
2.459736179719815482e+03,2.296357982396290076e+00
2.464736179719815482e+03,2.359769443776295272e+00
2.469736179719815482e+03,2.247418894249431087e+00
2.474736179719815482e+03,2.294959311758185461e+00
2.479736179719815482e+03,2.264565604358216966e+00
2.484736179719815482e+03,2.227317170393223300e+00
2.489736179719815482e+03,2.318935072776854511e+00
2.494736179719815482e+03,2.189330414941574876e+00
2.499736179719815482e+03,2.154393724990675274e+00
2.504736179719815482e+03,2.137446228081966382e+00
2.509736179719815482e+03,2.182982089957090643e+00
2.514736179719815482e+03,2.105831510456033229e+00
2.519736179719815482e+03,2.064129207926187703e+00
2.524736179719815482e+03,2.084271444339451662e+00
2.529736179719815482e+03,nan
2.534736179719815482e+03,2.906107638907526880e+00
2.539736179719815482e+03,2.506986309518658196e+00
2.544736179719815482e+03,2.478574524766419263e+00
2.549736179719815482e+03,2.617635842074048202e+00
2.554736179719815482e+03,2.538403121081542757e+00
2.559736179719815482e+03,2.442405547574838298e+00
2.564736179719815482e+03,2.477039760653053424e+00
2.569736179719815482e+03,2.409674520180740576e+00
2.574736179719815482e+03,2.512813679444401593e+00
2.579736179719815482e+03,2.486503028488421752e+00
