,freqs,L1-L2_wake,L1-L2_REM,L1-L2_NREM,L2-L3_wake,L2-L3_REM,L2-L3_NREM,L3-L4_wake,L3-L4_REM,L3-L4_NREM,R1-R2_wake,R1-R2_REM,R1-R2_NREM,R2-R3_wake,R2-R3_REM,R2-R3_NREM,R3-R4_wake,R3-R4_REM,R3-R4_NREM,F7_wake,F7_REM,F7_NREM,F8_wake,F8_REM,F8_NREM,T7_wake,T7_REM,T7_NREM,P7_wake,P7_REM,P7_NREM,T8_wake,T8_REM,T8_NREM,P8_wake,P8_REM,P8_NREM,O1_wake,O1_REM,O1_NREM,O2_wake,O2_REM,O2_NREM
178,72.4,1.532516785388508e-14,1.2208884284944902e-14,1.0470836991403504e-14,1.640406243792479e-14,1.3136749471658589e-14,1.1085574601053847e-14,1.3622250880237191e-14,1.1759133868771182e-14,1.0401659228587083e-14,1.5395288329066914e-14,1.2619489231678342e-14,1.145014966342378e-14,1.3559307235071588e-14,1.0678356688483723e-14,9.080233827515194e-15,1.1281714019014546e-14,9.511596102365628e-15,8.756604189491896e-15,1.434793229686589e-14,7.047398342063888e-15,6.919230854740183e-15,1.641041669271971e-14,5.7332059564607415e-15,6.769708372482751e-15,2.0841623925097396e-14,5.0004831417869614e-15,6.7590053305739896e-15,1.649593767023226e-14,4.8889725818758305e-15,9.036644641143982e-15,2.0826341340807737e-14,6.2627053093973115e-15,7.747535054097133e-15,1.4288141467003067e-14,5.647847969810188e-15,5.998921865764937e-15,1.2863361339407034e-14,5.0253365030378524e-15,5.973337470226378e-15,1.084347593618384e-14,5.620969284358555e-15,5.4404499576363845e-15
179,72.8,1.5404232867014312e-14,1.3258730144438486e-14,1.0767147122043675e-14,1.640491575781443e-14,1.3935461471443679e-14,1.1477750152720573e-14,1.3662312234318605e-14,1.2891149603830943e-14,1.0891927836870993e-14,1.5817729307863953e-14,1.525519432244954e-14,1.2506916484341417e-14,1.3715677350369002e-14,1.2216739732146925e-14,9.941481995718538e-15,1.1384165810526617e-14,1.0736480041654407e-14,9.721664133599685e-15,1.3888490946178212e-14,7.59190477549095e-15,6.77099118998159e-15,1.669303080484516e-14,5.8796781667818195e-15,6.624334427298027e-15,2.1893215079450515e-14,5.213693754917725e-15,6.712884260989894e-15,1.701474789287284e-14,4.85073120632965e-15,9.025432714954937e-15,2.436809670154866e-14,6.510534252594263e-15,7.920777033383989e-15,1.433457354398738e-14,5.642852146330169e-15,5.895299814265985e-15,1.3017724860904846e-14,5.1537486489139034e-15,6.154752135719322e-15,1.1145919628391473e-14,5.310610756921011e-15,5.54725958073079e-15
180,73.2,1.5065861964960865e-14,1.275297822315813e-14,1.0586573187003489e-14,1.5823531176264688e-14,1.3022271767875328e-14,1.089026860840025e-14,1.3441092315094384e-14,1.1881533422308602e-14,1.0172317551901978e-14,1.5056810751073522e-14,1.396627607201015e-14,1.1593551939124081e-14,1.324115974067174e-14,1.1222044693406839e-14,9.294948545768646e-15,1.1067711060668859e-14,9.365075539481832e-15,9.123304606721626e-15,1.452927269561352e-14,6.9812332096873976e-15,6.560041925142657e-15,1.737153612582893e-14,5.837535513541486e-15,6.632200289027692e-15,2.4830768604221845e-14,4.816801247456934e-15,6.609488690773766e-15,1.6230367584663336e-14,4.730030856671492e-15,8.630815039784297e-15,2.2688976315330767e-14,6.4792029863450926e-15,8.285450233511798e-15,1.42108448657037e-14,5.394531389033336e-15,5.8876609895823105e-15,1.2584636079663683e-14,5.103145084835696e-15,6.204940451103666e-15,1.080255376557843e-14,5.484557540024538e-15,5.475141749885587e-15
181,73.60000000000001,1.5049495642684344e-14,1.281587923996396e-14,1.0497888604668697e-14,1.574198206157979e-14,1.2387889871915412e-14,1.0984248256712365e-14,1.3313517549349423e-14,1.1427339013780481e-14,1.0142544813729691e-14,1.503879904876917e-14,1.39195928970295e-14,1.1618688161662235e-14,1.3321050452131809e-14,1.1498259771387634e-14,9.119714097322591e-15,1.1089438469997372e-14,9.338327823109459e-15,8.855890903142553e-15,1.3576628805258276e-14,7.141293848880402e-15,6.585160018894311e-15,1.6767064143842108e-14,6.076314031446303e-15,6.514606550284713e-15,2.3872552262402348e-14,4.9707354449675084e-15,6.896955871234562e-15,1.6563050245502508e-14,4.916408958127427e-15,8.692160713979975e-15,2.39375170314848e-14,6.2463757799068185e-15,8.008750267595929e-15,1.3442774346306706e-14,5.432684026078514e-15,5.7619273504391784e-15,1.2320931985880273e-14,5.154831696509665e-15,6.029987745072317e-15,1.068431483465257e-14,5.5292039368698016e-15,5.451567522200186e-15
182,74.0,1.4746272871840634e-14,1.2686809765817788e-14,1.0452115392011277e-14,1.5627321402317126e-14,1.3024109677133279e-14,1.098750193699555e-14,1.3024523360351509e-14,1.1942089577184447e-14,1.0278239301569798e-14,1.4867704964426968e-14,1.4154942357854576e-14,1.1565013074909599e-14,1.325826394632268e-14,1.0981073472131886e-14,9.164277972529298e-15,1.0657062513907374e-14,9.397506743764633e-15,8.80699328604098e-15,1.325045395349338e-14,6.9440146304910815e-15,6.635679223098905e-15,1.473851737148098e-14,5.283595039256817e-15,6.413483898603972e-15,2.116255773202851e-14,5.195594555829306e-15,6.640575331018961e-15,1.581444212689221e-14,4.823793395278079e-15,8.913084885168872e-15,2.048366349533352e-14,5.683788146951262e-15,7.732411653812524e-15,1.2514641990173807e-14,5.095217307039155e-15,5.794514355334246e-15,1.233663167105851e-14,5.045513534316443e-15,6.08138681444562e-15,1.0950569812932556e-14,5.25279115885702e-15,5.3111454626396836e-15
183,74.4,1.4702919043167543e-14,1.2335527410305785e-14,1.0282071410652564e-14,1.526757766371044e-14,1.24490925672645e-14,1.0774269806115648e-14,1.3226296919908879e-14,1.1145215782593038e-14,1.0080842386857312e-14,1.5145418540480374e-14,1.1778827490405046e-14,1.088783585349621e-14,1.3107991840402722e-14,1.0204532687226076e-14,8.803915793472911e-15,1.0792308780893303e-14,8.801939221109819e-15,8.469175932741373e-15,1.4094641926799255e-14,6.536971802710005e-15,6.6357880496637276e-15,1.5170689326113236e-14,5.462376516385883e-15,6.325869661581225e-15,2.064810208397702e-14,4.7095177178638985e-15,6.5224368096545745e-15,1.6185429484665984e-14,4.7449893691113245e-15,8.673202505342718e-15,1.9744551712271202e-14,5.584244425353654e-15,7.412372736367907e-15,1.3141284911847932e-14,4.987431036769466e-15,5.766367754186179e-15,1.2528647777182601e-14,4.906562315291748e-15,5.842479897425318e-15,1.1236060890727744e-14,5.332506199385486e-15,5.202326238839512e-15
184,74.8,1.4737153681238316e-14,1.2641492625178903e-14,1.0331094164034442e-14,1.5333107624106013e-14,1.2899949657749462e-14,1.0658059996729152e-14,1.276390899567323e-14,1.1411985141632292e-14,1.0038641536433265e-14,1.4624270160613162e-14,1.2902861489901143e-14,1.0970487824538743e-14,1.3054197122315263e-14,1.0459454192419409e-14,8.698219921735195e-15,1.065976449189929e-14,8.627107042364316e-15,8.534274587153395e-15,1.4803706891981035e-14,6.509179812242654e-15,6.584042531664774e-15,1.6544002993845894e-14,5.965235962026171e-15,6.2423624681063586e-15,2.0068771619574766e-14,4.8941491435361315e-15,6.5607335791320934e-15,1.608628795712318e-14,4.588884148021887e-15,8.514705772992918e-15,1.9712357574311695e-14,6.132867547862288e-15,7.385094106491641e-15,1.3366315957431996e-14,5.133745304128069e-15,5.705430435844945e-15,1.26337054807307e-14,4.676050783177703e-15,5.848048879484803e-15,1.074754053684175e-14,5.161390134896992e-15,5.058394276736754e-15
185,75.2,1.4773203795175542e-14,1.2637634020099531e-14,1.005099010481503e-14,1.525489763902896e-14,1.2631895559715043e-14,1.0434942038691595e-14,1.2534002264714157e-14,1.1186550038342083e-14,9.62826830103838e-15,1.466906761920582e-14,1.1314368325201568e-14,1.0462586176248419e-14,1.302336335519217e-14,1.0059033117293236e-14,8.577115942130734e-15,1.0377781484245974e-14,8.442861641933806e-15,8.130638098813785e-15,1.432426864411297e-14,6.625456992193638e-15,6.4111359098209856e-15,1.4703119987723043e-14,5.671010437365516e-15,6.256141151105814e-15,1.897843283348618e-14,4.801237218486055e-15,6.446848913646101e-15,1.5630476999973764e-14,4.5284926697776815e-15,8.638509098617146e-15,1.7732454048464497e-14,5.962735138147939e-15,7.392252438686168e-15,1.4957935258153453e-14,4.90169284636379e-15,5.523469243043703e-15,1.273563884505475e-14,4.815146426231041e-15,5.8945985108986895e-15,1.0609668876026171e-14,4.7942714446855966e-15,5.077711485909892e-15
186,75.60000000000001,1.4721514191094017e-14,1.1802409964598086e-14,1.0005790607760997e-14,1.5187696757384242e-14,1.1721866487273856e-14,1.0297501891209565e-14,1.2673775611352836e-14,1.1480599010550781e-14,9.701639973516935e-15,1.4781085356695485e-14,1.1926670510632672e-14,1.0622652977236556e-14,1.3122810459640837e-14,9.87137923938361e-15,8.722598524263349e-15,1.0631129913743771e-14,8.646602080001017e-15,8.269645481187695e-15,1.4242415630621348e-14,6.857008269735144e-15,6.4126443106860085e-15,1.4392271557758203e-14,5.38167533332454e-15,6.053548512973e-15,2.2535410248211623e-14,4.759149423733839e-15,6.330656099235147e-15,1.5563117866044898e-14,4.794430548379659e-15,8.645320493425467e-15,1.7589570130376515e-14,5.678767706486602e-15,7.014380936048996e-15,1.4589569777747833e-14,4.672127739950351e-15,5.4360387833724136e-15,1.2624698352149489e-14,4.762452615887887e-15,5.712581586402562e-15,1.0143475616940211e-14,4.770742146934985e-15,5.074026591364127e-15
187,76.0,1.4368025348032363e-14,1.1340690876497542e-14,9.684713828293608e-15,1.4946874373584323e-14,1.157204416254331e-14,1.0014984403147236e-14,1.2327159378336327e-14,1.1005178897761128e-14,9.370547333151893e-15,1.4263246060744113e-14,1.1814836872510604e-14,1.009585629737285e-14,1.2286377305990041e-14,9.984409602397872e-15,8.251030929905775e-15,1.0220596874291783e-14,8.03353475748991e-15,7.789072633135169e-15,1.4909617999854625e-14,6.495535830530205e-15,6.288453833855014e-15,1.656666035363769e-14,5.297944139163997e-15,6.0514167083377255e-15,1.8841006616535607e-14,4.463778752286185e-15,6.397662760935956e-15,1.6328445983192533e-14,4.757395389767099e-15,8.426683943136782e-15,2.073306633477967e-14,5.655697271434488e-15,7.360052972074174e-15,1.336475998740253e-14,4.6895376112430015e-15,5.365469962224745e-15,1.2556164593148271e-14,4.559160496002516e-15,5.6488106936019344e-15,1.0327420833802946e-14,4.633959881031179e-15,4.949860200048879e-15
188,76.4,1.440686809394987e-14,1.1791701527802108e-14,9.862284729665956e-15,1.5243645204242415e-14,1.1216077617295866e-14,9.992547591964043e-15,1.2865209778755669e-14,1.1104841910124943e-14,9.451847202457193e-15,1.4599421070978946e-14,1.2065574111043148e-14,1.0540388800100753e-14,1.2917081404028519e-14,9.964911353549385e-15,8.490418181226872e-15,1.0726514990170856e-14,8.357542563075093e-15,8.084392916566667e-15,1.478142958071558e-14,6.344108731829896e-15,6.242309320026282e-15,1.8327425372852925e-14,5.0256872056557165e-15,6.143560489666587e-15,1.7736045395360438e-14,4.341967799429594e-15,6.2937096393934215e-15,1.6813600311539724e-14,4.754687833620479e-15,8.516421315816844e-15,2.177374888743684e-14,5.669935291576586e-15,7.414548394612904e-15,1.2760670066045961e-14,4.723152741959832e-15,5.402969136926108e-15,1.2435863085167066e-14,4.616479605755639e-15,5.658902758223331e-15,1.0478369135546205e-14,4.816764703878823e-15,4.871460405979179e-15
189,76.80000000000001,1.4004608162926256e-14,1.1828445266234755e-14,9.693156305911092e-15,1.4921030534681145e-14,1.133859365674023e-14,9.892602630615284e-15,1.2069423304614313e-14,1.0323116539054725e-14,9.111431424572072e-15,1.3755493487479233e-14,1.1596775850489998e-14,9.615611103638292e-15,1.2347728218454552e-14,9.625453075691113e-15,7.961688910394704e-15,9.838642588820884e-15,7.750090063271204e-15,7.56573847171104e-15,1.4409822010397082e-14,6.3157087046775165e-15,6.044350471262545e-15,1.7099476430985176e-14,5.641746421118852e-15,5.873585947693322e-15,1.8923409748305773e-14,4.41810065197473e-15,5.97992014173771e-15,1.5936900181751245e-14,4.357324063740793e-15,8.349506715248816e-15,1.9753603173598828e-14,5.511705486041663e-15,6.930308097934011e-15,1.361185081103047e-14,4.58445464344461e-15,5.4311040684733564e-15,1.2082526962069638e-14,4.3541923484589786e-15,5.589364962409684e-15,1.0680993347814342e-14,4.8100648621673526e-15,4.778890923730266e-15
190,77.2,1.3949571488263204e-14,1.2184171121539514e-14,9.757243310188958e-15,1.5183078353563932e-14,1.1813575103825698e-14,1.0013525591593017e-14,1.2225393100087631e-14,1.0066283223653117e-14,9.123173712619598e-15,1.3950443606421033e-14,1.1977270753380729e-14,9.951290421791378e-15,1.2256951453607861e-14,9.931812786178927e-15,8.20681958906364e-15,1.0204921206688666e-14,7.78813813732971e-15,7.795925444776037e-15,1.3526133038621157e-14,6.330773093316874e-15,6.0968254728361965e-15,1.7393660429960252e-14,5.4113878196705395e-15,5.882753170456264e-15,1.87153281818778e-14,4.1815126819564404e-15,5.87866677934597e-15,1.6306744914975348e-14,4.020608396478099e-15,8.430681472372635e-15,1.975224417610367e-14,5.5309926779265366e-15,6.9201084620648535e-15,1.3986440572600123e-14,4.561146292638192e-15,5.399403401023436e-15,1.2114936015448051e-14,4.233093564223346e-15,5.643453445427197e-15,9.936808489626722e-15,4.918766418979857e-15,4.794815407600701e-15
191,77.60000000000001,1.402161674507411e-14,1.2198915863604058e-14,9.650094143190045e-15,1.489561786333976e-14,1.191053322129012e-14,9.834366893905894e-15,1.229149068535992e-14,1.0022408868470021e-14,9.1415679418741e-15,1.3872048599294237e-14,1.1738962902665529e-14,9.963293452578043e-15,1.2542459585762072e-14,9.525264226536903e-15,8.300296111405501e-15,1.0263379864201507e-14,8.047212997471852e-15,7.799799732585795e-15,1.4536396231023134e-14,6.198991943917503e-15,6.262528226073398e-15,1.754901688572246e-14,5.435642584128663e-15,5.884952705543677e-15,1.75524367052887e-14,4.357078696097658e-15,6.0376137609240946e-15,1.5858888763513277e-14,4.264648011710471e-15,8.290589435361106e-15,1.792149448301723e-14,4.886177800248881e-15,6.843670954898607e-15,1.3602506191922271e-14,4.544400082619006e-15,5.2591947185829125e-15,1.2327545340337498e-14,4.312235321849276e-15,5.5434173370903246e-15,1.0014216255037001e-14,4.599860453619808e-15,4.753093885390582e-15
192,78.0,1.3757223829485007e-14,1.156230573197555e-14,9.330313119691633e-15,1.4586981551291895e-14,1.0745323657635491e-14,9.576950914850906e-15,1.169332252661331e-14,9.597516888732891e-15,8.699660345195501e-15,1.3356572615346848e-14,1.1450143866892813e-14,9.420592408179074e-15,1.19775188318697e-14,9.358158588514128e-15,7.798581375294972e-15,9.738359793304215e-15,7.989068233311619e-15,7.338215753596074e-15,1.467312841298838e-14,5.942086096149052e-15,6.0715113507372154e-15,1.7548031543453986e-14,5.008450692889873e-15,5.891240110019555e-15,1.6259880276620108e-14,4.255912081656312e-15,5.6579820842261386e-15,1.4485034869032496e-14,4.367827485121958e-15,8.284716333467713e-15,1.7133227067122712e-14,4.847338960851653e-15,6.89732127386871e-15,1.3046649287300672e-14,4.4601705130200246e-15,5.240126690708727e-15,1.1448607051065714e-14,4.01332539732367e-15,5.439755463571875e-15,9.92455190014862e-15,4.329531479178345e-15,4.7289557077023545e-15
193,78.4,1.394935159170497e-14,1.1710509809221924e-14,9.639605859274966e-15,1.4722768105696143e-14,1.099915865018519e-14,9.699211699890822e-15,1.2111110459830234e-14,1.0296586450795205e-14,9.188172124610334e-15,1.4221067181481404e-14,1.2280907918762869e-14,9.997706411992659e-15,1.2419105240371461e-14,1.0038124521241818e-14,8.155662281479753e-15,1.0070928934286252e-14,8.059676065814603e-15,7.864865690449605e-15,1.3846462504695366e-14,6.021220177594141e-15,6.017351832217975e-15,1.3953274493598672e-14,5.127426933654737e-15,5.80060250068334e-15,1.860835112421582e-14,4.204226919305951e-15,5.583761345876312e-15,1.507655505951463e-14,4.4471753041111114e-15,8.309558046828354e-15,1.7550559076460594e-14,5.332664238018156e-15,6.977148933259586e-15,1.2942905184818612e-14,4.686236996028412e-15,5.230842233021763e-15,1.200349604880057e-14,4.2500262652218774e-15,5.528994864199331e-15,9.419075297660915e-15,4.325715845924192e-15,4.728416541806638e-15
194,78.80000000000001,1.3553762269970228e-14,1.1571883409085803e-14,9.32564540625847e-15,1.4433588859641326e-14,1.1392128040844466e-14,9.495019734411755e-15,1.1648504461461672e-14,9.915273809465825e-15,8.813285521819048e-15,1.313123548370637e-14,1.1105907073955597e-14,9.250642560684052e-15,1.1865529741341591e-14,9.811409209321788e-15,7.657746340826916e-15,9.494487701835143e-15,7.77038408598884e-15,7.283631961088686e-15,1.3370487646707113e-14,6.137511198033239e-15,6.0608621524063816e-15,1.4992295006887088e-14,5.11612791316858e-15,5.7291138102044e-15,1.544290267253454e-14,4.191081957877827e-15,5.7611084184294006e-15,1.6048763875150733e-14,4.069528532221514e-15,8.057180027284475e-15,1.9035762075278525e-14,5.2710818189132046e-15,6.839489782241087e-15,1.2553645365027856e-14,4.647543353279593e-15,5.254993189518871e-15,1.2049626990416006e-14,4.19383527207434e-15,5.255947758679939e-15,9.245879876157061e-15,4.2210395577165874e-15,4.668287216351739e-15
