,freqs,L1-L2_wake,L1-L2_REM,L1-L2_NREM,L2-L3_wake,L2-L3_REM,L2-L3_NREM,L3-L4_wake,L3-L4_REM,L3-L4_NREM,R1-R2_wake,R1-R2_REM,R1-R2_NREM,R2-R3_wake,R2-R3_REM,R2-R3_NREM,R3-R4_wake,R3-R4_REM,R3-R4_NREM,Fp1_wake,Fp1_REM,Fp1_NREM,Fp2_wake,Fp2_REM,Fp2_NREM,F7_wake,F7_REM,F7_NREM,F8_wake,F8_REM,F8_NREM,T7_wake,T7_REM,T7_NREM,P7_wake,P7_REM,P7_NREM,T8_wake,T8_REM,T8_NREM,P8_wake,P8_REM,P8_NREM,O1_wake,O1_REM,O1_NREM,O2_wake,O2_REM,O2_NREM
10,5.2,4.2667092635584396e-13,3.2389405886187783e-13,1.1680116385073926e-12,3.3330693074466385e-13,2.453976450963293e-13,8.047735491617212e-13,2.4355474496579265e-13,1.9561827182443916e-13,6.136972308707347e-13,4.733896002687035e-12,4.614844076387602e-12,1.0254669958885629e-11,2.4161589381552158e-12,2.391058538851444e-12,8.119308265607945e-12,2.491223948084868e-12,3.3154308763194995e-12,3.735952442543518e-12,6.1859493676866615e-12,2.44490237060129e-12,5.498994143098182e-12,5.267941632032488e-12,2.288957483038949e-12,5.052205401207181e-12,4.893647207438668e-12,2.6345755119830393e-12,6.34253254158621e-12,2.6471590074904816e-12,1.7983937549998594e-12,4.295856383881978e-12,3.0641886098819722e-12,1.9908531313372677e-12,5.4169485654348165e-12,8.926943378030876e-13,5.510945940255857e-13,1.485824070327165e-12,1.5759287004987057e-12,1.094727674358303e-12,3.427464436391931e-12,6.557714482396468e-13,4.712064477164238e-13,1.5795476967057893e-12,1.684925100056309e-13,1.3187373587498696e-13,2.238332231435122e-13,1.4889943942818762e-13,1.1700411661049516e-13,2.256052579414572e-13
11,5.6000000000000005,4.0473815964741197e-13,2.976442703789003e-13,1.0080489085741474e-12,3.0304508978804044e-13,2.167895333571495e-13,7.237719792609423e-13,2.420610693669022e-13,1.8358850350838604e-13,5.953855191493101e-13,4.155029929051923e-12,3.771067115220858e-12,8.320922816278798e-12,2.1847403285840003e-12,2.0789035914159938e-12,6.4110071492357176e-12,2.4328639282225733e-12,3.1199173799216624e-12,3.270920470282766e-12,5.868879849819148e-12,2.2771353939380815e-12,5.278439398069351e-12,5.377269569355148e-12,2.1067006262271372e-12,4.851999605650148e-12,4.869163665096347e-12,2.420851799093913e-12,6.363207227641176e-12,2.960267422613722e-12,1.7217954595141886e-12,4.234204446692929e-12,2.9927638463917724e-12,1.884484274699434e-12,5.767441387955786e-12,9.636021469197215e-13,5.501710163138418e-13,1.5598202377930457e-12,1.5980684848814283e-12,1.0640416253787378e-12,3.470208786933475e-12,6.929694529981824e-13,4.656791486839216e-13,1.5975342078070703e-12,1.7422585791839216e-13,1.2955249052162397e-13,2.231136582815954e-13,1.5041708597715854e-13,1.1699777494568942e-13,2.2641965693857607e-13
12,6.0,3.7362980316660625e-13,2.8423619666747216e-13,8.921110977075282e-13,2.6930088552910167e-13,1.8598694134878962e-13,6.451244863092415e-13,2.3890146320591975e-13,1.7290584270609223e-13,5.58681629191809e-13,3.546825716536873e-12,3.094779097162032e-12,6.725196804221341e-12,1.9639530833943796e-12,1.792955932799805e-12,5.039286191107131e-12,2.2102917406470984e-12,2.686844835691235e-12,2.9540309459221218e-12,6.120176627008346e-12,2.177315473816463e-12,5.199969724339369e-12,5.769057010613136e-12,1.9939596126368732e-12,4.756712643416043e-12,5.414024830443499e-12,2.409368731516795e-12,6.549120137756934e-12,3.5678582319341318e-12,1.6632882502519006e-12,4.3115153644630235e-12,3.046646073265982e-12,1.8335254704815295e-12,6.231518982085181e-12,1.0269961529063271e-12,5.594003400498409e-13,1.6577417116328642e-12,1.8073655784447065e-12,1.044631917755621e-12,3.6131733804289265e-12,7.657873986951038e-13,4.715077407708205e-13,1.6795066025924782e-12,1.8910097522353638e-13,1.2828230347858596e-13,2.314131788313082e-13,1.557813129008978e-13,1.1636224880926284e-13,2.332082267152214e-13
13,6.4,3.3804717971783254e-13,2.410299170676048e-13,7.714146279253123e-13,2.3560033212766364e-13,1.6013375195268675e-13,5.892992919460949e-13,2.2548915427011422e-13,1.6000108370005336e-13,5.27848098737805e-13,2.8374332166493906e-12,2.395068072636794e-12,5.346087007192133e-12,1.6220562214379792e-12,1.4828806320441596e-12,3.935999996852437e-12,1.8621569087584016e-12,1.997145186734671e-12,2.6575383282786203e-12,6.5730874889906445e-12,2.091004064490069e-12,5.2026533808776286e-12,6.0614329157091215e-12,2.020681441970084e-12,4.7251095100415675e-12,5.953731438359719e-12,2.351840373644929e-12,6.822356409587994e-12,4.029261566035835e-12,1.6559841757597437e-12,4.450675290123918e-12,3.3800453584567328e-12,1.7593957122312716e-12,6.7918107061541784e-12,1.0970515870756933e-12,5.713878365288715e-13,1.7933849455588818e-12,2.1471851144221875e-12,1.0621674901007524e-12,3.906484128436542e-12,8.484794079272704e-13,4.89856713826269e-13,1.796051938220527e-12,1.9805783345220061e-13,1.330361451779441e-13,2.4726764160839816e-13,1.6498887444600302e-13,1.2087567110297703e-13,2.450740256648151e-13
14,6.800000000000001,2.987010759782226e-13,1.9463987908226466e-13,6.935385741793566e-13,2.138253535786358e-13,1.4389586411030256e-13,5.628492641805247e-13,2.0986467468235575e-13,1.4354393262733946e-13,4.817625468898681e-13,2.19429198445136e-12,1.8171499948006704e-12,4.3423651610088505e-12,1.2835663557055838e-12,1.176747158372369e-12,3.14643191071293e-12,1.4796464805643889e-12,1.4800256886747007e-12,2.3864058808679677e-12,7.0032152491101926e-12,2.1960376996400168e-12,5.399539102553733e-12,6.22917453361354e-12,2.177707379275765e-12,4.934390752655307e-12,6.5156512103793814e-12,2.6253902735011925e-12,7.166500382556949e-12,4.376816114120054e-12,1.7056425340805204e-12,4.737429841121977e-12,3.834631337128117e-12,1.9613126623768476e-12,7.194778817252959e-12,1.256480494422431e-12,6.285104517304891e-13,1.922335595556271e-12,2.2611642300071618e-12,1.170818306892624e-12,4.219699782737649e-12,9.272796797442785e-13,5.14165127940359e-13,1.9252846114756962e-12,2.1794935401970678e-13,1.4362980445113085e-13,2.6452218596904385e-13,1.769782228215709e-13,1.2374710460263793e-13,2.6181695841980047e-13
15,7.2,2.706429110814664e-13,1.7066182477852521e-13,6.379904163678623e-13,1.9425321170254149e-13,1.3344806842010867e-13,5.592122380258117e-13,1.9285553126549474e-13,1.3182024616570921e-13,4.621197661856029e-13,1.721639369138621e-12,1.424034508835186e-12,3.638854614040566e-12,1.0202242786822722e-12,9.23120506718355e-13,2.600320155252667e-12,1.1799607665773378e-12,1.08053786699359e-12,2.1208225074644315e-12,7.636150961460471e-12,2.3699574405091803e-12,5.606606209682122e-12,6.669254001534965e-12,2.389051591406476e-12,5.1978352121918195e-12,7.755616775944218e-12,2.9921804190602145e-12,7.326729169658531e-12,5.022784549904146e-12,1.842995175742508e-12,4.954961190443141e-12,4.5320246522580506e-12,2.239519664445546e-12,7.33019666810149e-12,1.4308684802564095e-12,6.905018320749615e-13,2.0096470247463935e-12,2.847349327038645e-12,1.2844755806922275e-12,4.404214155156083e-12,1.0738219359678618e-12,5.696232493550111e-13,2.035042468059835e-12,2.557218847633169e-13,1.5490702467070994e-13,2.804984359930767e-13,1.9705499571544726e-13,1.3424486899677955e-13,2.8026898535248615e-13
16,7.6000000000000005,2.582243007437434e-13,1.5257821234597552e-13,6.029905834162468e-13,1.7941363740164721e-13,1.2227243457378445e-13,5.761272701213889e-13,1.8844859993965817e-13,1.2780598919514846e-13,4.3735638762642126e-13,1.3985613354057974e-12,1.146400348237293e-12,3.0680442455968222e-12,8.321086161811572e-13,7.479569320698597e-13,2.227181066897504e-12,9.667316640192125e-13,8.544756538647288e-13,1.892457461585569e-12,9.483470670399425e-12,2.4780041829060507e-12,5.676757654436824e-12,8.230366327329143e-12,2.2711393271683396e-12,5.264472634910307e-12,1.0073711562456918e-11,3.3003939869346953e-12,7.2625161346852666e-12,6.6582144364286936e-12,1.829263517028913e-12,4.966021925893601e-12,5.856561352176475e-12,2.652298337535227e-12,7.2023811018426035e-12,1.6677209507996432e-12,7.801814473688106e-13,2.0114552591254372e-12,3.5881565534569323e-12,1.342053605906894e-12,4.369496819832203e-12,1.2331437488306605e-12,6.279303873014057e-13,2.0207345036440777e-12,3.1562246696433817e-13,1.7321968433310723e-13,2.9060187196748516e-13,2.2656875646584413e-13,1.572378165133458e-13,2.879005591379944e-13
17,8.0,2.4992414550247677e-13,1.4316601151943866e-13,5.783590370320763e-13,1.7060144851709938e-13,1.1307688274759619e-13,6.066826052422058e-13,1.8021543369872464e-13,1.185361450197267e-13,4.2864694976245503e-13,1.1764533224804745e-12,9.172564729295411e-13,2.6815786055488047e-12,7.096022364532157e-13,6.018499527344101e-13,1.977187556432563e-12,8.291736387329088e-13,6.977606640339612e-13,1.7154163481502738e-12,1.3513844853886943e-11,2.5088974080375347e-12,5.3063865107427186e-12,1.1544931662587244e-11,2.1932117963088656e-12,4.946339431859766e-12,1.375956332615178e-11,3.5179265471253028e-12,6.653168240670774e-12,9.136777716304295e-12,1.8064825651217114e-12,4.583309803268693e-12,7.160306934812675e-12,3.069679201855547e-12,6.7457693227167875e-12,1.9312656067751395e-12,8.577882499953827e-13,1.853231333539221e-12,4.5936305611388295e-12,1.3559130966606181e-12,4.056745136012965e-12,1.464355691007332e-12,6.541761268753857e-13,1.8517740382492437e-12,4.0687204018143604e-13,1.9254034026779348e-13,2.760774110015285e-13,2.7649445524628854e-13,1.7553072088172688e-13,2.6671541270231945e-13
18,8.4,2.471180367113565e-13,1.3138006642087556e-13,5.744541579963567e-13,1.625319444279055e-13,1.0723249735905751e-13,6.693416851293331e-13,1.751367340276853e-13,1.1249945283639488e-13,4.4260687863749083e-13,1.0150766653068276e-12,7.713215984617687e-13,2.418705097113481e-12,6.14564344974773e-13,5.029030734318521e-13,1.7965931547674077e-12,7.489086219927414e-13,6.06593422298388e-13,1.5560379478083829e-12,1.5289231311144105e-11,2.1887653541352054e-12,4.733937657207928e-12,1.272887108790268e-11,1.9228590381402168e-12,4.443583872561305e-12,1.5977182144998093e-11,3.267204174545388e-12,5.700792575503908e-12,1.0547464333367907e-11,1.637131627096381e-12,4.026893222993872e-12,8.022566007601287e-12,3.156123072498892e-12,5.91639781613997e-12,2.0545824904540822e-12,8.694564696790797e-13,1.6065593255206785e-12,5.3769710950148665e-12,1.3124876549574665e-12,3.631161497582783e-12,1.6360443914968352e-12,6.38195885233124e-13,1.6252590560201782e-12,4.4816222806975647e-13,1.8838611506399837e-13,2.51940652343434e-13,3.226623072173647e-13,1.6831947166879401e-13,2.3290398001543786e-13
19,8.8,2.499464090857022e-13,1.2885262172651217e-13,6.078807371286092e-13,1.539970078253955e-13,1.0580563722538814e-13,7.480192832289934e-13,1.806487219779221e-13,1.124490390959833e-13,4.3897758881107045e-13,8.670511025896696e-13,6.669414576125853e-13,2.2832642181497156e-12,5.429785175297847e-13,4.409563975641453e-13,1.6888104365518355e-12,6.793033128516587e-13,5.247320457172841e-13,1.44121253680947e-12,9.459308554446919e-12,1.8167275504825083e-12,4.092122965317614e-12,8.64576237687818e-12,1.6121500952712427e-12,3.8866940573372336e-12,1.0709523886014395e-11,2.8280758774579654e-12,4.781513148454255e-12,7.209559108495565e-12,1.4098632573497387e-12,3.441663925786666e-12,6.997991834921517e-12,3.0435102500583526e-12,4.9485322595116576e-12,1.942548696680312e-12,7.844378707143252e-13,1.3466165777010888e-12,4.405644066832419e-12,1.2422584148331616e-12,3.16205452237211e-12,1.4258740621682153e-12,5.779983491064667e-13,1.3995972547107965e-12,3.8858963010022334e-13,1.5634870400714866e-13,2.2582293096878615e-13,3.1088026734966106e-13,1.4216257839336606e-13,1.9643343348609776e-13
